"expression","example_fr","example_en"
"E:U:M:.","variation qualitative","quality variation"
"E:A:M:.","variation quantitative","quantity variation"
"E:U:S:.","pire","worse"
"E:A:S:.","peu","a few | slightly"
"E:U:B:.","aussi bon","as good"
"E:A:B:.","quantité moyenne | égalité","medium quantity | equality"
"E:U:T:.","meilleur","better"
"E:A:T:.","beaucoup | très","a lot | very"
"E:M:O:.","inférence","inference"
"E:M:U:.","peut inférentiel","inferential may"
"E:M:A:.","doit inférentiel","inferential must"
"E:S:O:.","hypothèse (si)","hypothesis (if)"
"E:B:O:.","croyance","belief"
"E:T:O:.","conclusion (alors | donc)","conclusion (then | therefore)"
"E:S:U:.","possibilité","possibility"
"E:B:U:.","crédibilité","credibility"
"E:T:U:.","par nécessité logique","by logical necessity"
"E:S:A:.","condition","condition"
"E:B:A:.","autorité","authority"
"E:T:A:.","par expérience | à partir des faits","by experience | from the facts"
"E:M:M:.","distribution","distribution"
"E:M:S:.","moins distributif","distributive minus"
"E:M:B:.","medium distributif","distributive medium"
"E:M:T:.","plus distributif","distributive plus"
"E:S:M:.","distribution dans le temps","time distribution"
"E:B:M:.","distribution de fréquence","frequency distribution"
"E:T:M:.","distribution dans l'espace","space distribution"
"E:S:S:.","jamais","never"
"E:B:S:.","rarement","rarely"
"E:T:S:.","nulle part","nowhere"
"E:S:B:.","parfois","sometimes"
"E:B:B:.","généralement | régulièrement","usually | regularly"
"E:T:B:.","quelque part","somewhere"
"E:S:T:.","toujours","always"
"E:B:T:.","souvent","often"
"E:T:T:.","partout","everywhere"
"E:E:M:.","indicateurs de cas pour clauses verbale","case indicators for verb clauses"
"E:E:S:.","nominatif | relation verbe-sujet","nominative | subject-verb relation"
"E:E:B:.","datif | bénéficiaire (à)","dative | beneficiary (to)"
"E:E:T:.","accusatif | complément d'objet direct","accusative | direct object"
"E:E:O:.","indicateurs de cas pour clause nominale","case indicators for noun clauses"
"E:E:U:.","attribut du nom","attribute of the noun"
"E:E:A:.","génitif (de)","genitive (of)"
"O:O:.F:.-","contrôler l'expérience sensori-motrice","to control sensori-motor experience"
"wo.F:.-","moduler les phénomènes","to modulate phenomena"
"wa.F:.-","exposer la sensori-motricité","to display sensorimotricity"
"wu.F:.-","sentir les formes | reconnaître les formes","to feel shapes | to recognize shapes"
"we.F:.-","interrompre la sensori-motricité","to shut off sensorimotricity"
"O:O:.U:.-","contrôler l'expérience auditive","to control auditory experience"
"O:O:.A:.-","contrôler l'expérience tactile","to control tactile experience"
"O:O:.S:.-","contrôler l'expérience visuelle","to control visual experience"
"O:O:.B:.-","contrôler l'expérience physico-chimique","to control physicochemical experience"
"O:O:.T:.-","contrôler l'expérience motrice","to control motor experience"
"wo.U:.-","contrôler le son","to control sound"
"wa.U:.-","diffuser la voix & le son | exhiber la voix & le son","to broadcast voice & sound | to display voice & sound"
"wu.U:.-","entendre | reconnaître des formes acoustiques","to hear | to recognize auditive forms"
"we.U:.-","faire silence | isoler du son","to make silence | to insulate from sound"
"wo.A:.-","contrôler la force","to control force"
"wa.A:.-","exhiber une signature | exhiber des traces | exhiber une empreinte","to display a signature | to display tracks | to display a footprint"
"wu.A:.-","toucher | reonnaître des formes tactiles","to touch | to recognize tactile forms"
"we.A:.-","isoler | protéger du contact","to insulate | to protect from contact"
"wo.S:.-","contrôler l'image (taille | forme | couleur)","to control image (size | color | shape)"
"wa.S:.-","afficher l'image | diffuser l'image","to display image | to broadcast image"
"wu.S:.-","voir | reconnaître des formes visuelles","to see | to recognize visual forms"
"we.S:.-","cacher | protéger de la vue","to hide | to protect from sight"
"wo.B:.-","contrôler le goût | contrôler l'odeur | cuisiner | brasser | mener des processus chimiques","to control taste | to control smell | to cook | to brew | to lead chemical processes"
"wa.B:.-","afficher le goût & l'odeur | diffuser le goût & l'odeur","to display smell & taste | to broadcast smell & taste"
"wu.B:.-","sentir | goûter | reconnaître des formes chimiques","to smell | to taste | to recognize chemical forms"
"we.B:.-","isoler thermiquement | isoler chimiquement","to thermally insulate | to chemically insulate"
"wo.T:.-","contrôler l'orientation dans l'espace | contrôler la position dans l'espace","to control orientation in space | to control position in space"
"wa.T:.-","afficher le mouvement | conduire | danser","to display movement | to drive | to dance"
"wu.T:.-","reconnaître des formes de mouvements | reconnaître des formes de manipulations","to recognize shapes of movement | to recognize forms of manipulation"
"we.T:.-","poser des fondations | poser une base immuable (isoler du mouvement)","to create foundations | to create an unmovable base (to insulate from movement)"
"O:O:.O:M:.-","travailler","to work"
"O:O:.y.-","travailler les savoirs","to work on knowledge"
"O:O:.o.-","travailler les principes","to work on principles"
"O:O:.e.-","travailler les compétences","to work on skills"
"O:O:.u.-","travailler la communication","to work on communication"
"O:O:.a.-","travailler l'engagement","to work on commitment"
"O:O:.i.-","travailler l'équipement","to work on equipment"
"wo.O:M:.-","identifier les points clé de son activité","to identify key-points of one's activity"
"wa.O:M:.-","maîtriser son activité","to master one's activity"
"wu.O:M:.-","exercer son jugement critique","to exert critical judgement"
"we.O:M:.-","renouveler son activité","to renew the activity"
"wo.y.-","s'orienter dans les savoirs","to find one's bearings in knowledge"
"wa.y.-","maîtriser les savoirs","to master knowledge"
"wu.y.-","questionner les savoirs reçus","to question accepted knowledge"
"we.y.-","reconstruire les savoirs","to rebuild knowledge"
"wo.o.-","établir des principes","to establish principles"
"wa.o.-","s'en tenir aux principes","to stick to principles"
"wu.o.-","se remettre en question","to question oneself"
"we.o.-","renouveler les objectifs","to renew objectives"
"wo.e.-","identifier les compétences","to identify competences"
"wa.e.-","maîtriser les compétences","to master competences"
"wu.e.-","évaluer les compétences","to assess competences"
"we.e.-","renouveler les compétences","to renew competences"
"wo.u.-","suivre les fils de communication","to follow communication threads"
"wa.u.-","trouver l'information | indiquer l'information","to find information | to show information"
"wu.u.-","se réorienter dans les modes de communication","to reorient oneself into communication modes"
"we.u.-","mettre à jour sa documentation","to update one's documentation"
"wo.a.-","trouver sa juste place","to find one's rightful place"
"wa.a.-","cultiver son caractère","to cultivate one's character"
"wu.a.-","discerner les caractères","to discern characters"
"we.a.-","renouveler ses engagements","to renew one's commitments"
"wo.i.-","choisir l'équipement","to choose equipment"
"wa.i.-","utiliser l'équipement","to use equipment"
"wu.i.-","tester l'équipement","to test equipment"
"we.i.-","renouveler l'équipement","to renew equipment"
"O:O:.M:O:.-","gouverner","to govern"
"O:O:j.-","gouverner le système symbolique","govern the symbolic system"
"O:O:.g.-","gouverner la communication","to govern the communication"
"O:O:.h.-","gouverner le sens de l'entreprise","to govern the meaning of the enterprise"
"O:O:.c.-","gouverner la communauté","to govern the community"
"O:O:.p.-","gouverner le rapport aux objectifs","to govern the relation to objectives"
"O:O:.x.-","gouverner le système technique","to govern the technical system"
"wo.M:O:.-","remettre en jeu les cadres de l'activité","to monitor alternative frameworks"
"wa.M:O:.-","perfectionner les cadres de l'activité","to improve frameworks"
"wu.M:O:.-","évaluer les cadres de l'activité","to assess frameworks"
"we.M:O:.-","unifier les cadres de l'activité","to unify frameworks"
"wo.j.-","envisager d'autres systèmes symboliques","to consider other symbolic systems"
"wa.j.-","perfectionner le système symbolique","to improve the symbolic system"
"wu.j.-","évaluer le système symbolique en usage","to assess the symbolic system in use"
"we.j.-","unifier le système symbolique","to unify the symbolic system"
"wo.g.-","réfléchir à d'autres modes de communication","to reflect on other communication modes"
"wa.g.-","perfectionner le système de communication","to improve the communication system"
"wu.g.-","évaluer le mode de communication en usage","to assess the communication mode in use"
"we.g.-","unifier la communication","to unify communication"
"wo.h.-","remettre en jeu le sens de l'activité","to question the meaning of the activity"
"wa.h.-","approfondir le sens de l'activité","to deepen the meaning of the activity"
"wu.h.-","évaluer les modes d'interprétation","to assess the interpretation mode"
"we.h.-","unifier le sens de l'activité","to unify the meaning of the activity"
"wo.c.-","réfléchir aux communautés possibles","to think about possible communities"
"wa.c.-","renouveler la communauté","to renew the community"
"wu.c.-","évaluer la communauté","to assess the community"
"we.c.-","rassembler la communauté","to unify the community"
"wo.p.-","redéfinir les objectifs","to redefine objectives"
"wa.p.-","atteindre les objectifs","to meet the objectives"
"wu.p.-","mesurer la distance aux objectifs","to measure the distance to the objectives"
"we.p.-","unifier les objectifs","to unify objectives"
"wo.x.-","réfléchir aux techniques possibles","to ponder possible techniques"
"wa.x.-","perfectionner le système technique","to improve the technical system"
"wu.x.-","évaluer le système technique","to assess the technical system"
"we.x.-","unifier le système technique","to unify the technical system"
"O:O:.M:M:.-","fournir des ressources à l'action","to provide resources for action"
"O:O:.s.-","fournir des ressources à l'action par l'ouverture intellectuelle","to provide resources for action through intellectual openness"
"O:O:.b.-","fournir des ressources à l'action par les jeux du langage","to provide resources for action through language-games"
"O:O:.k.-","fournir des ressources à l'action par la générosité","to provide resources for action through generosity"
"O:O:.m.-","fournir des ressources à l'action par la fluidité émotionelle","to provide resources for action through emotional fluidity"
"O:O:.n.-","fournir des ressources à l'action par la résonance avec le cosmos","to provide resources for action by tuning to the cosmos"
"O:O:.d.-","fournir des ressources à l'action par le souci de vérité","to provide resources for action through concern for truth"
"O:O:.f.-","fournir des ressources à l'action par le rapport au corps","to provide resources for action through the relation to the body"
"O:O:.l.-","fournir des ressources à l'action par l'extension spatiale","to provide resources for action through spatial extension"
"wo.M:M:.-","cultiver la variation de l'expérience","to cultivate experience variation"
"wa.M:M:.-","cultiver la force de l'action","to cultivate strength of action"
"wu.M:M:.-","cultiver la subtilité de la perception","to cultivate subtlety of perception"
"we.M:M:.-","cultiver un équilibre durable","to cultivate a sustainable equilibrium"
"wo.s.-","brasser les idées","to brainstorm"
"wa.s.-","se soucier de l'action","to have concern for action"
"wu.s.-","développer la sensibilité intellectuelle","to develop intellectual sensitivity"
"we.s.-","cultiver l'équilibre intellectuel","to cultivate intellectual equilibrium"
"wo.b.-","augmenter les ressources linguistiques","to augment linguistic resources"
"wa.b.-","s'exprimer par les actes","to express oneself through acts"
"wu.b.-","développer la sensibilité poétique","to develop poetic sensitivity"
"we.b.-","cultiver le système d'information","to cultivate the information system"
"wo.t.-","se remémorer","to remember"
"wa.t.-","prendre des risques","to take risks"
"wu.t.-","comprendre les causes","to understand causes"
"we.t.-","régler son emploi du temps","to manage one's timetable"
"wo.k.-","semer les graines du changement social","to plant the seeds of social change"
"wa.k.-","agir pour la société | agir pour la communauté","to act for the sake of society | to act for the sake of community"
"wu.k.-","être sensible aux rapports humains","to be sensitive to human relations"
"we.k.-","constituer des liens sociaux","to set up social bonds"
"wo.m.-","changer les réflexes émotionnels","to change emotional patterns"
"wa.m.-","sublimer ses émotions","to sublimate one's emotions"
"wu.m.-","exprimer ses émotions","to express one's emotions"
"we.m.-","cultiver l'équilibre émotionnel","to cultivate emotional equilibrium"
"wo.n.-","changer de représentation du monde","to change world representation"
"wa.n.-","cultiver sa motivation","cultivate one's motivation"
"wu.n.-","cultiver la clarté du sens","to cultivate clarity of meaning"
"we.n.-","accepter le jugement des pairs","accept the judgement of peers"
"wo.d.-","méditer sur les vérités alternatives","to meditate on alternative truths"
"wa.d.-","expérimenter","to experiment"
"wu.d.-","observer","to observe"
"we.d.-","adopter un système de mesure","to adopt a measurement system"
"wo.f.-","expérimenter de nouvelles habitudes corporelles","to experiment new bodily habits"
"wa.f.-","cultiver son énergie physique","to cultivate one's physical energy"
"wu.f.-","s'immerger dans les sensations","to immerse oneself in sensations"
"we.f.-","satisfaire ses besoins primaires","to satisfy one's primary needs"
"wo.l.-","faire de l'espace | réorganiser","to make room | to reorganize"
"wa.l.-","étendre la portée de son action","to increase one's range of action"
"wu.l.-","étendre sa vue d'ensemble","to extend one's overall view"
"we.l.-","augmenter sa capacité de travail","to increase one's working capacity"
"O:M:.O:O:.-","gagner en puissance","to gain empowerment"
"y.O:O:.-","assumer une identité","to assume an identity"
"o.O:O:.-","utiliser le droit","to use law"
"e.O:O:.-","contrôler","to control"
"u.O:O:.-","exposer","to exhibit"
"a.O:O:.-","créer | initier","to create | to initiate"
"i.O:O:.-","équiper","to equip"
"O:M:.wo.-","gagner en puissance créative","to gain in creative power"
"O:M:.wa.-","gagner en puissance économique","to gain in economic power"
"O:M:.wu.-","gagner en puissance citoyenne","to gain in citizen empowerment"
"O:M:.we.-","gagner en puissance familiale","to gain in family empowerment"
"y.wo.-","assumer la responsabilité d'une oeuvre","to assume a work's responsibility"
"y.wa.-","assumer une identité corporative","to assume a corporate identity"
"y.wu.-","assumer son identité personnelle","to assume one's personal identity"
"y.we.-","assumer une tradition familiale | assumer une identité familiale","to assume a family tradition | to assume a family identity"
"o.wo.-","utiliser les lois sur la propriété intellectuelle","to use intellectual property law"
"o.wa.-","utiliser le droit administratif | utiliser le droit commercial","to use administrative law | to use commercial law"
"o.wu.-","utiliser le droit pénal","to use criminal law"
"o.we.-","utiliser le droit de la famille","to use family law"
"e.wo.-","exploiter un talent | exploiter un don","to exploit a talent | to exploit a gift"
"e.wa.-","posséder un bien économique | posséder un capital","to possess an economic good | to possess a capital"
"e.wu.-","surveiller | organiser la transparence","to keep watch | to organize transparency"
"e.we.-","contrôler la reproduction","to control birth"
"u.wo.-","publier | exposer une oeuvre originale","to publish | to exhibit an original work"
"u.wa.-","exposer les produits de l'activité économique","to exhibit products of economic activity"
"u.wu.-","s'exprimer dans les média","to express oneself in the media"
"u.we.-","s'entraider | aider sa famille","to give support | to help family"
"a.wo.-","créer une œuvre scientifique | créer une œuvre artistique","to create a scientific work | to create an artistic work"
"a.wa.-","créer une entreprise","to create a company"
"a.wu.-","mener une action politique","to lead a political action"
"a.we.-","fonder une famille","to create a family"
"i.wo.-","équiper l'activité scientifique | équiper l'activité artistique","to equip scientific activity | to equip artistic activity"
"i.wa.-","équiper une entreprise | équiper l'activité économique","to equip a company | to equip economic activity"
"i.wu.-","équiper un territoire | équiper une collectivité","to equip a territory | to equip a collectivity"
"i.we.-","équiper un ménage","to equip a household"
"O:M:.O:M:.-","performer","to perform"
"O:M:.y.-","performer dans le savoir","to perform in knowledge"
"O:M:.o.-","performer dans la volonté","to perform in will"
"O:M:.e.-","performer dans les capacités","to perform in abilities"
"O:M:.u.-","performer dans l'expression","to perform in expression"
"O:M:.a.-","performer dans le rapport social","to perform in social relationship"
"O:M:.i.-","performer dans le concret","to perform in concrete things"
"y.O:M:.-","performer sur une base de savoir","to perform on a basis of knowledge"
"y.y.-","maîtriser un domaine de connaissance","to master a knowledge field"
"y.o.-","établir des priorités","to establish priorities"
"y.e.-","analyser","to analyze"
"y.u.-","interroger","to interrogate"
"y.a.-","apprendre","to learn"
"y.i.-","expliciter | formaliser","to explicitate | to formalize"
"o.O:M:.-","performer sur une base de volonté","to perform on a basis of will"
"o.y.-","choisir","to choose"
"o.o.-","viser un objectif","to aim at an objective"
"o.e.-","spécifier","to specify"
"o.u.-","faire campagne","to campaign"
"o.a.-","mener | diriger","to lead"
"o.i.-","poser une candidature","to make an application"
"e.O:M:.-","performer sur une base de capacités","to perform on a basis of capacities"
"u.y.-","répondre","to respond"
"u.o.-","adhérer (à des idées)","to adhere (to ideas)"
"u.e.-","juger","to judge"
"u.u.-","communiquer","to communicate"
"u.a.-","promettre","to promise"
"u.i.-","prêter","to lend"
"a.O:M:.-","performer sur une base sociale","to perform on a social basis"
"a.y.-","enseigner","to teach"
"a.o.-","suivre","to follow"
"a.e.-","offrir | fournir","to offer | to supply"
"a.u.-","tenir sa promesse","to keep one's word"
"a.a.-","contracter","to contract"
"a.i.-","vendre","to sell"
"i.O:M:.-","performer sur une base concrète","to perform on a concrete basis"
"i.y.-","computer","to compute"
"i.o.-","obtenir (une position)","to obtain (a position) | to get (a position)"
"i.e.-","prendre","to take"
"i.u.-","emprunter","to borrow"
"i.a.-","acheter","to buy"
"i.i.-","fabriquer","to manufacture"
"O:M:.M:O:.-","créer une œuvre de l'esprit","to create a work of the mind"
"O:M:.j.-","travailler le média","to work on the medium"
"O:M:.g.-","travailler le discours","to work on the discourse"
"O:M:.h.-","travailler l'interprétation","to work on the interpretation"
"O:M:.c.-","travailler sur soi","to work on oneself"
"O:M:.p.-","travailler le sujet","to work on the subject"
"O:M:.x.-","travailler sur la méthode | travailler sur le projet","to work on the method | to work on the project"
"y.M:O:.-","examiner les productions possibles","to consider possible productions"
"y.j.-","examiner les médias possibles","to examine possible media"
"y.g.-","envisager les discours possibles","to consider possible discourses"
"y.h.-","examiner les sens possibles","to examine possible meanings"
"y.c.-","examiner ses obstacles","to examine one's obstacles"
"y.p.-","examiner les sujets possibles","to examine possible subjects"
"y.x.-","passer en revue les méthodes possibles","to review possible methods"
"o.M:O:.-","orienter sa production","to orient one's production"
"o.j.-","choisir un mode d'expression","to choose a mode of expression"
"o.g.-","choisir son propos | choisir son discours","to choose one's discourse"
"o.h.-","choisir une interprétation","to choose an interpretation"
"o.c.-","orienter son cheminement personnel","to orient one's personal path"
"o.p.-","choisir un sujet","to choose a subject"
"o.x.-","s'orienter dans les étapes du travail","to find one's bearings in the steps of work"
"e.M:O:.-","maîtriser sa production","to master one's production"
"e.j.-","maîtriser un média","to master a medium"
"e.g.-","s'approprier un discours","to make a discourse one's own"
"e.h.-","suivre une méthode d'interprétation","to follow a method of interpretation"
"e.c.-","se préparer au changement","to prepare oneself for change"
"e.p.-","être au niveau approprié pour un sujet","to be at the proper level for a subject"
"e.x.-","s'approprier des outils","to make tools one's own"
"u.M:O:.-","communiquer sa production","communicate one's production"
"u.j.-","analyser son langage","to analyze one's language"
"u.g.-","prononcer un discours","to deliver a speech"
"u.h.-","énoncer le sens","to state the meaning"
"u.c.-","s'engager à changer","to commit oneself to change"
"u.p.-","expliquer son sujet","to explain one's subject"
"u.x.-","expliquer son travail","to explain one's work"
"a.M:O:.-","s'engager dans sa production","to commit to one's production"
"a.j.-","assumer son style","to assume one's style"
"a.g.-","s'engager dans son discours","to commit oneself to one's discourse"
"a.h.-","défendre une interprétation","to defend an interpretation"
"a.c.-","accepter sa transformation","to accept one's transformation"
"a.p.-","s'impliquer dans son sujet","to get involved in one's subject"
"a.x.-","s'impliquer dans son travail","to get involved in one's work"
"i.M:O:.-","achever sa production | améliorer sa production","to achieve one's production | to improve one's production"
"i.j.-","raffiner son langage","to refine one's language"
"i.g.-","élaborer son discours","to elaborate one's discourse"
"i.h.-","élaborer une interprétation","to elaborate an interpretation"
"i.c.-","se réconcilier avec ses obstacles","to come to term with one's obstacles"
"i.p.-","construire son sujet","to construct one's subject"
"i.x.-","travailler la matière","to work with matter"
"O:M:.F:.-","bouger | accomplir une action physique","to move | to accomplish a physical action"
"O:M:.O:.-","bouger en relation à un centre","to move in relation to center"
"O:M:.M:.-","provoquer un changement physique","to provoke a physical change"
"O:M:.U:.-","bouger de façon centripète","to move centripetally"
"O:M:.A:.-","bouger de façon centrifuge","to move centrifugally"
"U:M:.F:.-","bouger objectivement","to move objectively"
"y.F:.-","accomplir un acte topologique","to perform a topological act"
"y.U:.-","plier | envelopper","to fold | to wrap"
"y.A:.-","déplier | développer","to unfold | to unwrap"
"y.S:.-","trier | différentier","to sort | to differentiate"
"y.B:.-","nouer | attacher","to tie | to attach"
"y.T:.-","creuser | percer | sculpter","to dig | to pierce | to sculpt"
"o.F:.-","manipuler des objets de valeur","to manipulate valuable objects"
"o.U:.-","recevoir","to receive"
"o.A:.-","envoyer","to send"
"o.S:.-","transporter | amener","to bring | to carry"
"o.B:.-","attraper | tenir","to catch | to grasp"
"o.T:.-","garder","to keep"
"e.F:.-","placer des objets | déplacer des objets","to place objects | to displace objects"
"e.U:.-","tirer","to pull"
"e.A:.-","pousser","to push"
"e.S:.-","disperser","to disperse"
"e.B:.-","rassembler","to gather"
"e.T:.-","construire | combiner","to build | to combine"
"u.F:.-","se déplacer","to move oneself"
"u.U:.-","venir","to come"
"u.A:.-","aller","to go"
"u.S:.-","voler | voyager dans l'air","to fly | to travel through air"
"u.B:.-","nager | voyager sur l'eau","to swim | to travel on water"
"u.T:.-","marcher | rouler | voyager sur terre","to walk | to travel on land"
"a.U:.-","digérer | assimiler","to digest | to assimilate"
"a.A:.-","excréter","to excrete"
"a.S:.-","respirer","to breathe"
"a.B:.-","boire","to drink"
"a.T:.-","manger","to eat"
"i.U:.-","frapper","to hit"
"i.A:.-","lancer","to throw"
"i.S:.-","soulever","to lift"
"i.B:.-","sauter","to jump"
"i.T:.-","courir","to run"
"O:O:.O:O:.-","vivre","to live"
"O:O:.wo.-","germer","to sprout"
"O:O:.wa.-","porter fruit","to flourish"
"O:O:.wu.-","porter fruit","produce fruit"
"O:O:.we.-","décliner","wane"
"wo.O:O:.-","traverser le cycle symbolique","to go through the symbolic cycle"
"wo.wo.-","être initié","to be initiated"
"wo.wa.-","célébrer","to celebrate"
"wo.wu.-","s'habituer","to get used"
"wo.we.-","déplorer la perte","to mourn"
"wa.O:O:.-","traverser le cycle quotidien","to go through the daily cycle"
"wa.wo.-","s'éveiller","to wake up"
"wa.wa.-","s'activer","to strive"
"wa.wu.-","se restaurer | se distraire","to eat | to rest | to entertain oneself"
"wa.we.-","s'endormir","to fall asleep"
"wu.O:O:.-","traverser les âges","to go through the age cycle"
"wu.wo.-","être un enfant","to be a child"
"wu.wa.-","être jeune","to be young"
"wu.wu.-","être mûr","to be mature"
"wu.we.-","vieillir","to grow old"
"we.O:O:.-","traverser le cycle reproducteur","to go through the reproductive cycle"
"we.wo.-","naître","to be born"
"we.wa.-","faire l'amour | concevoir","to make love | to conceive"
"we.wu.-","donner naissance","to give birth"
"we.we.-","mourir","to die"
"O:M:.-",NULL,"neglect thought"
"y.M:M:.-","obscurcir l'intelligence","to obscure intelligence"
"y.s.-","négliger la discipline intellectuelle","to neglect intellectual discipline"
"y.b.-","ne pas abstraire","to not abstract"
"y.t.-","oublier","to forget"
"y.k.-","ignorer les relations","to ignore relations"
"y.m.-","ignorer ses émotions","to ignore emotions"
"y.n.-","ignorer les principes","to ignore principles"
"y.d.-","ignorer les faits","to ignore facts"
"y.f.-","intoxiquer","to intoxicate"
"y.l.-","ignorer ses limites | ignorer les limites","to ignore one's limits | to ignore limits"
"o.M:M:.-","assombrir l'existence humaine","to dim human existence"
"o.s.-","avoir des préjugés","to have prejudices"
"o.b.-","mal comprendre","to misunderstand"
"o.t.-","être en retard | procrastiner","to be late | to procrastinate"
"o.k.-","briser les liens sociaux","to break social bonds"
"o.m.-","manquer d'empathie","to lack empathy"
"o.n.-","être fermé d'esprit","to be narrow-minded"
"o.d.-","mentir","to lie"
"o.f.-","faire souffrir","to inflict suffering"
"o.l.-","provoquer le chaos | provoquer la confusion","to provoke chaos | to provoke confusion"
"e.M:M:.-","manquer d'habileté","to lack ability"
"e.s.-","négliger les codes","to neglect codes"
"e.b.-","être incohérent","to be incoherent"
"e.t.-","offenser","to offend"
"e.k.-","être emporté par ses passions","to be carried away by one's passions"
"e.m.-","menacer","to threaten"
"e.n.-","être conformiste","to blindly conform"
"e.d.-","être techniquement incompétent","to be technically incompetent"
"e.f.-","négliger le corps","to neglect the body"
"e.l.-","entreprendre une action irréaliste","to undertake an impractical act"
"u.M:M:.-","fragiliser la fonction sémiotique","to undermine the semiotic function"
"u.s.-","défigurer | rendre illisible","to disfigure | to deface"
"u.b.-","soliloquer","to soliloquize"
