"I:","information in general","information en general"
"t.","memory","m√©moire"
"n.","world","monde"
"l.","space","espace"
"E:F:U:.","logical possibility (may)","possibilit√© logique (peut)"
"E:F:A:.","logical necessity (must)","n√©cessit√© logique (doit)"
"E:O:O:.","logical construction","construction logique"
"E:O:U:.","logical may","peut logique"
"E:O:A:.","logical must","doit logique"
"E:U:O:.","deconstructive mode","mode d√©constructif"
"E:A:O:.","constructive mode","mode constructif"
"E:U:U:.","interrogation?","interrogation?"
"E:A:U:.","quotation","citation"
"E:U:A:.","negation","n√©gation"
"E:A:A:.","affirmation","affirmation"
"E:O:M:.","quantity / quality variation (adverb)","variation quantit√© / qualit√© (adverbe)"
"E:O:S:.","comparative minus","moins comparatif"
"E:O:B:.","comparative medium","medium comparatif"
"E:O:T:.","comparative plus","plus comparatif"
"E:U:M:.","quality variation","variation qualitative"
"E:A:M:.","quantity variation","variation quantitative"
"E:U:S:.","worse","pire"
"E:A:S:.","a few | quantitative less","peu | moins quantitatif"
"E:U:B:.","as good","aussi bon"
"E:A:B:.","medium quantity | quantitative as much","quantit√© moyenne | autant quantitatif"
"E:U:T:.","better","meilleur"
"E:A:T:.","a lot, very | quantitative more","beaucoup, tr√®s | plus quantitatif"
"E:M:O:.","inference mode","mode díinf√©rence"
"E:M:U:.","inferential may","peut inf√©rentiel"
"E:M:A:.","inferential must","doit inf√©rentiel"
"E:S:O:.","hypothesis (if)","hypoth√®se (si)"
"E:B:O:.","belief","croyance"
"E:T:O:.","conclusion (then | therefore)","conclusion (alors | donc)"
"E:S:U:.","possibility","possibilit√©"
"E:B:U:.","credibility","cr√©dibilit√©"
"E:T:U:.","by logical necessity","par n√©cessit√© logique"
"E:S:A:.","condition","condition"
"E:B:A:.","authority","autorit√©"
"E:T:A:.","by experience | from the facts","par exp√©rience | √† partir des faits"
"E:M:M:.","spatiotemporal distribution (adverb)","distribution spatio-temporelle (adverbe)"
"E:M:S:.","distributive minus","moins distributif"
"E:M:B:.","distributive medium","medium distributif"
"E:M:T:.","distributive plus","plus distributif"
"E:S:M:.","time distribution","distribution dans le temps"
"E:B:M:.","frequency distribution","distribution de fr√©quence"
"E:T:M:.","space distribution","distribution dans líespace"
"E:S:S:.","never","jamais"
"E:B:S:.","rarely","rarement"
"E:T:S:.","nowhere","nulle part"
"E:S:B:.","sometimes","parfois"
"E:B:B:.","usually | regularly","g√©n√©ralement | r√©guli√®rement"
"E:T:B:.","somewhere","quelque part"
"E:S:T:.","always","toujours"
"E:B:T:.","often","souvent"
"E:T:T:.","everywhere","partout"
"E:E:M:.","case indicators for verb clauses","indicateurs de cas pour clauses verbale"
"E:E:S:.","nominative | subject-verb relation","nominatif | relation verbe-sujet"
"E:E:B:.","dative¬†| beneficiary (to)","datif | b√©n√©ficiaire (√†)"
"E:E:T:.","accusative | direct object","accusatif | compl√©ment díobjet direct"
"E:E:O:.","case indicators for noun clauses","indicateurs de cas pour clause nominale"
"E:E:U:.","attribute of the noun","attribut du nom"
"E:E:A:.","genitive (of)","g√©nitif (de)"
"O:O:.F:.-","control sensorimotor experience","contr√¥ler líexp√©rience sensori-motrice"
"wo.F:.-","modulate phenomena","moduler les ph√©nom√®nes"
"wa.F:.-","display sensorimotricity","exposer la sensori-motricit√©"
"wu.F:.-","feel / recognize shapes","sentir les formes | reconna√Ætre les formes"
"we.F:.-","shut off sensorimotricity","interrompre la sensori-motricit√©"
"O:O:.U:.-","control auditory experience","contr√¥ler líexp√©rience auditive"
"O:O:.A:.-","control tactile experience","contr√¥ler líexp√©rience tactile"
"O:O:.S:.-","control visual experience","contr√¥ler líexp√©rience visuelle"
"O:O:.B:.-","control physicochemical experience","contr√¥ler líexp√©rience physico-chimique"
"O:O:.T:.-","control motor experience","contr√¥ler líexp√©rience motrice"
"wo.U:.-","control sound","contr√¥ler le son"
"wa.U:.-","broadcast / display voice & sound","diffuser / exhiber la voix / le son"
"wu.U:.-","hear | recognize auditive forms","entendre | reconna√Ætre des formes acoustiques"
"we.U:.-","make silence | insulate from sound","faire silence | isoler du son"
"wo.A:.-","control force","contr√¥ler la force"
"wa.A:.-","display signatures / tracks / footprints","exhiber des signatures / traces / empreintes"
"wu.A:.-","touch | recognize tactile forms","toucher | reconna√Ætre des formes tactiles"
"we.A:.-","insulate / protect from contact","isoler | prot√©ger du contact"
"wo.S:.-","control image (size | color | shape)","contr√¥ler líimage (taille | forme | couleur)"
"wa.S:.-","display / broadcast image","afficher / diffuser líimage"
"wu.S:.-","see | recognize visual forms","voir | reconna√Ætre des formes visuelles"
"we.S:.-","hide | protect from sight","cacher | prot√©ger de la vue"
"wo.B:.-","control taste / smell | cook | brew | lead chemical processes","contr√¥ler le go√ªt / líodeur | cuisiner | brasser | mener des processus chimiques"
"wa.B:.-","display / broadcast smell & taste","afficher / diffuser le go√ªt / líodeur"
"wu.B:.-","smell | taste | recognize chemical forms","sentir | go√ªter | reconna√Ætre des formes chimiques"
"we.B:.-","insulate thermally / chemically","isoler thermiquement / chimiquement"
"wo.T:.-","control orientation / position in space","contr√¥ler líorientation / la position dans líespace"
"wa.T:.-","display movement | drive | dance","afficher le mouvement | conduire | danser"
"wu.T:.-","recognize shapes of movement / forms of manipulation","reconna√Ætre des formes de mouvements / de manipulations"
"we.T:.-","lay down foundations | create an unmovable base | insulate from movement","poser des fondations / une base immuable | isoler du mouvement"
"O:O:.O:M:.-","work","travailler"
"O:O:.y.-","work on knowledge","travailler les savoirs"
"O:O:.o.-","work on principles","travailler les principes"
"O:O:.e.-","work on skills","travailler les comp√©tences"
"O:O:.u.-","work on communication","travailler la communication"
"O:O:.a.-","work on commitment","travailler líengagement"
"O:O:.i.-","work on equipment","travailler lí√©quipement"
"wo.O:M:.-","identify key-points of working activity","identifier les points cl√© de son activit√©"
"wa.O:M:.-","master work activity","ma√Ætriser son activit√©"
"wu.O:M:.-","exert critical judgement","exercer son jugement critique"
"we.O:M:.-","renew the activity","renouveler son activit√©"
"wo.y.-","find oneís bearings in knowledge","síorienter dans les savoirs"
"wa.y.-","master knowledge","ma√Ætriser les savoirs"
"wu.y.-","question accepted knowledge","questionner les savoirs re√ßus"
"we.y.-","rebuild knowledge","reconstruire les savoirs"
"wo.o.-","establish principles","√©tablir des principes"
"wa.o.-","stick to principles","síen tenir aux principes"
"wu.o.-","question oneself","se remettre en question"
"we.o.-","update principles","r√©actualiser les principes"
"wo.e.-","identify competences","identifier les comp√©tences"
"wa.e.-","master competences","ma√Ætriser les comp√©tences"
"wu.e.-","assess competences","√©valuer les comp√©tences"
"we.e.-","renew competences","renouveler les comp√©tences"
"wo.u.-","follow communication threads","suivre les fils de communication"
"wa.u.-","find / show information","trouver / indiquer líinformation"
"wu.u.-","reorient oneself into communication modes","se r√©orienter dans les modes de communication"
"we.u.-","update documentation","mettre √† jour sa documentation"
"wo.a.-","find oneís rightful place","trouver sa juste place"
"wa.a.-","cultivate oneís character","cultiver son caract√®re"
"wu.a.-","discern characters","discerner les caract√®res"
"we.a.-","renew commitments","renouveler ses engagements"
"wo.i.-","choose equipment","choisir lí√©quipement"
"wa.i.-","use equipment","utiliser lí√©quipement"
"wu.i.-","test equipment","tester lí√©quipement"
"we.i.-","renew equipment","renouveler lí√©quipement"
"O:O:.M:O:.-","govern","gouverner"
"O:O:.g.-","govern the communication","gouverner la communication"
"O:O:.h.-","govern the meaning of the enterprise","gouverner le sens de líentreprise"
"O:O:.c.-","govern the community","gouverner la communaut√©"
"O:O:.p.-","govern the relation to objectives","gouverner le rapport aux objectifs"
"O:O:.x.-","govern the technical system","gouverner le syst√®me technique"
"wo.M:O:.-","monitor alternative frameworks","remettre en jeu les cadres de líactivit√©"
"wa.M:O:.-","improve frameworks","perfectionner les cadres de líactivit√©"
"wu.M:O:.-","assess frameworks","√©valuer les cadres de líactivit√©"
"we.M:O:.-","unify frameworks","unifier les cadres de líactivit√©"
"wo.j.-","consider other symbolic systems","envisager díautres syst√®mes symboliques"
"wa.j.-","improve symbolic systems","perfectionner les syst√®mes symboliques"
"wu.j.-","assess symbolic systems in use","√©valuer les syst√®mes symboliques en usage"
"we.j.-","maintain a unifying symbolic system","entretenir un syst√®me symbolique unificateur"
"wo.g.-","reflect on other communication modes","r√©fl√©chir √† díautres modes de communication"
"wa.g.-","improve the communication system","perfectionner le syst√®me de communication"
"wu.g.-","assess the communication mode in use","√©valuer le mode de communication en usage"
"we.g.-","orchestrate the communication","orchestrer la communication"
"wo.h.-","question the meaning of the activity","remettre en jeu le sens de líactivit√©"
"wa.h.-","deepen the meaning of the activity","approfondir le sens de líactivit√©"
"wu.h.-","assess the interpretation mode","√©valuer les modes díinterpr√©tation"
"we.h.-","give a meaning to the activity","donner sens √† líactivit√©"
"wo.c.-","think about possible communities","r√©fl√©chir aux communaut√©s possibles"
"wa.c.-","renew the community","renouveler la communaut√©"
"wu.c.-","assess the community","√©valuer la communaut√©"
"we.c.-","unify the community","rassembler la communaut√©"
"wo.p.-","redefine objectives","red√©finir les objectifs"
"wa.p.-","meet the objectives","atteindre les objectifs"
"wu.p.-","measure the distance to the objectives","mesurer la distance aux objectifs"
"we.p.-","unify partial goals into a common vision","unifier les buts partiels dans une vision commune"
"wo.x.-","ponder possible techniques","r√©fl√©chir aux techniques possibles"
"wa.x.-","improve the technical system","perfectionner le syst√®me technique"
"wu.x.-","assess the technical system","√©valuer le syst√®me technique"
"we.x.-","harmonize the technical system","harmoniser le syst√®me technique"
"O:O:.M:M:.-","provide resources for action","fournir des ressources √† líaction"
"O:O:.s.-","provide resources for action through intellectual openness","fournir des ressources √† líaction par líouverture intellectuelle"
"O:O:.b.-","provide resources for action through language-games","fournir des ressources √† líaction par les jeux du langage"
"O:O:.k.-","provide resources for action through generosity","fournir des ressources √† líaction par la g√©n√©rosit√©"
"O:O:.m.-","provide resources for action through emotional fluidity","fournir des ressources √† líaction par la fluidit√© √©motionelle"
"O:O:.n.-","provide resources for action by tuning to the cosmos","fournir des ressources √† líaction par la r√©sonance avec le cosmos"
"O:O:.d.-","provide resources for action through concern for truth","fournir des ressources √† líaction par le souci de v√©rit√©"
"O:O:.f.-","provide resources for action through the relation to the body","fournir des ressources √† líaction par le rapport au corps"
"O:O:.l.-","provide resources for action through spatial extension","fournir des ressources √† líaction par líextension spatiale"
"wo.M:M:.-","cultivate experience variation","cultiver la variation de líexp√©rience"
"wa.M:M:.-","cultivate strength of action","cultiver la force de líaction"
"wu.M:M:.-","cultivate subtlety of perception","cultiver la subtilit√© de la perception"
"we.M:M:.-","cultivate a sustainable equilibrium","cultiver un √©quilibre durable"
"wo.s.-","brainstorm","brasser les id√©es"
"wa.s.-","have concern for action","se soucier de líaction"
"wu.s.-","develop intellectual sensitivity","d√©velopper la sensibilit√© intellectuelle"
"we.s.-","cultivate intellectual equilibrium","cultiver lí√©quilibre intellectuel"
"wo.b.-","augment linguistic resources","augmenter les ressources linguistiques"
"wa.b.-","express oneself through acts","síexprimer par les actes"
"wu.b.-","develop poetic sensitivity","d√©velopper la sensibilit√© po√©tique"
"we.b.-","cultivate the information system","cultiver le syst√®me díinformation"
"wo.t.-","remember","se rem√©morer"
"wa.t.-","take risks","prendre des risques"
"wu.t.-","understand causes","comprendre les causes"
"we.t.-","manage oneís timetable","r√©gler son emploi du temps"
"wo.k.-","plant the seeds of social change","semer les graines du changement social"
"wa.k.-","act for the sake of society | community","agir pour la soci√©t√© / la communaut√©"
"wu.k.-","be sensitive to human relations","√™tre sensible aux rapports humains"
"we.k.-","set up social bonds","constituer des liens sociaux"
"wo.m.-","change emotional patterns","changer les r√©flexes √©motionnels"
"wa.m.-","sublimate oneís emotions","sublimer ses √©motions"
"wu.m.-","express oneís emotions","exprimer ses √©motions"
"we.m.-","cultivate emotional equilibrium","cultiver lí√©quilibre √©motionnel"
"wo.n.-","change world representation","changer de repr√©sentation du monde"
"wa.n.-","cultivate oneís motivation","cultiver sa motivation"
"wu.n.-","cultivate clarity of meaning","cultiver la clart√© du sens"
"we.n.-","accept the judgement of peers","accepter le jugement des pairs"
"wo.d.-","meditate on alternative truths","m√©diter sur les v√©rit√©s alternatives"
"wa.d.-","experiment","exp√©rimenter"
"wu.d.-","to observe","observer"
"we.d.-","adopt a measurement system","adopter un syst√®me de mesure"
"wo.f.-","experiment new bodily habits","exp√©rimenter de nouvelles habitudes corporelles"
"wa.f.-","cultivate oneís physical energy","cultiver son √©nergie physique"
"wu.f.-","immerse oneself in sensations","síimmerger dans les sensations"
"we.f.-","satisfy oneís primary needs","satisfaire ses besoins primaires"
"wo.l.-","make room | reorganize","faire de líespace | r√©organiser"
"wa.l.-","increase oneís range of action","√©tendre la port√©e de son action"
"wu.l.-","extend oneís overall view","√©tendre sa vue díensemble"
"we.l.-","increase oneís working capacity","augmenter sa capacit√© de travail"
"O:M:.O:O:.-","gain empowerment","gagner en puissance"
"y.O:O:.-","assume an identity","assumer une identit√©"
"o.O:O:.-","use law","utiliser le droit"
"e.O:O:.-","control","contr√¥ler"
"u.O:O:.-","exhibit","exposer"
"a.O:O:.-","create | initiate","cr√©er | initier"
"i.O:O:.-","equip","√©quiper"
"O:M:.wo.-","gain in creative power","gagner en puissance cr√©ative"
"O:M:.wa.-","gain in economic power","gagner en puissance √©conomique"
"O:M:.wu.-","gain in citizen empowerment","gagner en puissance citoyenne"
"O:M:.we.-","gain in family empowerment","gagner en puissance familiale"
"y.wo.-","assume a workís responsibility","assumer la responsabilit√© díune oeuvre"
"y.wa.-","assume a corporate identity","assumer une identit√© corporative"
"y.wu.-","assume oneís personal identity","assumer son identit√© personnelle"
"y.we.-","assume a family tradition / identity","assumer une tradition / une identit√© familiale"
"o.wo.-","use intellectual property law","utiliser les lois sur la propri√©t√© intellectuelle"
"o.wa.-","use administrative /commercial law","utiliser le droit administratif / commercial"
"o.wu.-","use criminal law","utiliser le droit p√©nal"
"o.we.-","use family law","utiliser le droit de la famille"
"e.wo.-","exploit a talent / a gift","exploiter un talent / un don"
"e.wa.-","possess an economic good / a capital","poss√©der un bien √©conomique / un capital"
"e.wu.-","keep watch | organize transparency","surveiller | organiser la transparence"
"e.we.-","control birth","contr√¥ler la reproduction"
"u.wo.-","publish / exhibit an original work","publier / exposer une oeuvre originale"
"u.wa.-","exhibit products of economic activity","exposer les produits de líactivit√© √©conomique"
"u.wu.-","express oneself in the media","síexprimer dans les m√©dia"
"u.we.-","give mutual support / help family","síentraider | aider sa famille"
"a.wo.-","create a scientific work | an artistic work","cr√©er une ≈ìuvre scientifique / artistique"
"a.wa.-","create a company","cr√©er une entreprise"
"a.wu.-","lead a political action","mener une action politique"
"a.we.-","create a family","fonder une famille"
"i.wo.-","equip scientific / artistic activity","√©quiper líactivit√© scientifique / artistique"
"i.wa.-","equip a company / an economic activity","√©quiper une entreprise / une activit√© √©conomique"
"i.wu.-","equip a territory / a collectivity","√©quiper un territoire / une collectivit√©"
"i.we.-","equip a household","√©quiper un m√©nage"
"O:M:.O:M:.-","perform","performer"
"O:M:.y.-","perform in knowledge","performer dans le savoir"
"O:M:.o.-","perform in will","performer dans la volont√©"
"O:M:.e.-","perform in abilities","performer dans les capacit√©s"
"O:M:.u.-","perform in expression","performer dans líexpression"
"O:M:.a.-","perform in social relationship","performer dans le rapport social"
"O:M:.i.-","perform in concrete things","performer dans le concret"
"y.O:M:.-","perform on a basis of knowledge","performer sur une base de savoir"
"y.y.-","master a knowledge field","ma√Ætriser un domaine de connaissance"
"y.o.-","establish priorities","√©tablir des priorit√©s"
"y.e.-","analyze","analyser"
"y.u.-","interrogate","interroger"
"y.a.-","learn","apprendre"
"y.i.-","explicate | formalize","expliciter | formaliser"
"o.O:M:.-","perform on a basis of will","performer sur une base de volont√©"
"o.y.-","choose","choisir"
"o.o.-","aim at an objective","viser un objectif"
"o.e.-","specify","sp√©cifier"
"o.u.-","campaign","faire campagne"
"o.a.-","lead","mener | diriger"
"o.i.-","make an application","poser une candidature"
"e.O:M:.-","perform on a basis of capacities","performer sur une base de capacit√©s"
"u.y.-","respond","r√©pondre"
"u.o.-","adhere (to ideas)","adh√©rer (√† des id√©es)"
"u.e.-","judge","juger"
"u.u.-","to communicate","communiquer"
"u.a.-","promise","promettre"
"u.i.-","lend","pr√™ter"
"a.O:M:.-","perform on a social basis","performer sur une base sociale"
"a.y.-","to teach","enseigner"
"a.o.-","follow","suivre"
"a.e.-","offer | supply","offrir | fournir"
"a.u.-","keep oneís word","tenir sa promesse"
"a.a.-","contract","contracter"
"a.i.-","sell","vendre"
"i.O:M:.-","perform on a concrete basis","performer sur une base concr√®te"
"i.y.-","to compute","computer"
"i.o.-","obtain / get (a position)","obtenir (une position)"
"i.e.-","take","prendre"
"i.u.-","borrow","emprunter"
"i.a.-","buy","acheter"
"i.i.-","manufacture","fabriquer"
"O:M:.M:O:.-","create a work of the mind","cr√©er une ≈ìuvre de líesprit"
"O:M:.j.-","work on the medium","travailler le m√©dia"
"O:M:.g.-","work on the discourse","travailler le discours"
"O:M:.h.-","work on the interpretation","travailler líinterpr√©tation"
"O:M:.c.-","work on oneself","travailler sur soi"
"O:M:.p.-","work on the subject","travailler le sujet"
"O:M:.x.-","work on the method / on the project","travailler sur la m√©thode / le projet"
"y.M:O:.-","consider possible productions","examiner les productions possibles"
"y.j.-","examine possible media","examiner les m√©dias possibles"
"y.g.-","consider possible discourses","envisager les discours possibles"
"y.h.-","examine possible meanings","examiner les sens possibles"
"y.c.-","examine oneís obstacles","examiner ses obstacles"
"y.p.-","examine possible subjects","examiner les sujets possibles"
"y.x.-","review possible methods","passer en revue les m√©thodes possibles"
"o.M:O:.-","orient oneís production","orienter sa production"
"o.j.-","choose a mode of expression","choisir un mode díexpression"
"o.g.-","choose oneís discourse","choisir son propos | choisir son discours"
"o.h.-","choose an interpretation","choisir une interpr√©tation"
"o.c.-","orient oneís personal path","orienter son cheminement personnel"
"o.p.-","choose a subject","choisir un sujet"
"o.x.-","find oneís bearings in the steps of work","síorienter dans les √©tapes du travail"
"e.M:O:.-","master oneís production","ma√Ætriser sa production"
"e.j.-","master a medium","ma√Ætriser un m√©dia"
"e.g.-","make a discourse oneís own","síapproprier un discours"
"e.h.-","follow a method of interpretation","suivre une m√©thode díinterpr√©tation"
"e.c.-","prepare oneself for change","se pr√©parer au changement"
"e.p.-","be at the proper level for a subject","√™tre au niveau appropri√© pour un sujet"
"e.x.-","make tools oneís own","síapproprier des outils"
"u.M:O:.-","communicate oneís production","communiquer sa production"
"u.j.-","analyze oneís language","analyser son langage"
"u.g.-","deliver a speech","prononcer un discours"
"u.h.-","state the meaning","√©noncer le sens"
"u.c.-","commit oneself to change","síengager √† changer"
"u.p.-","explain oneís subject","expliquer son sujet"
"u.x.-","explain oneís work","expliquer son travail"
"a.M:O:.-","commit to oneís production","síengager dans sa production"
"a.j.-","assume oneís style","assumer son style"
"a.g.-","commit oneself to oneís discourse","síengager dans son discours"
"a.h.-","defend an interpretation","d√©fendre une interpr√©tation"
"a.c.-","accept oneís transformation","accepter sa transformation"
"a.p.-","get involved in oneís subject","síimpliquer dans son sujet"
"a.x.-","get involved in oneís work","síimpliquer dans son travail"
"i.M:O:.-","achieve / improve oneís production","achever / am√©liorer sa production"
"i.j.-","refine oneís language","raffiner son langage"
"i.g.-","elaborate oneís discourse","√©laborer son discours"
"i.h.-","elaborate an interpretation","√©laborer une interpr√©tation"
"i.c.-","come to term with oneís obstacles","se r√©concilier avec ses obstacles"
"i.p.-","construct oneís subject","construire son sujet"
"i.x.-","work with matter","travailler la mati√®re"
"O:M:.F:.-","move | accomplish a physical action","bouger | accomplir une action physique"
"O:M:.O:.-","move in relation to center","bouger en relation √† un centre"
"O:M:.M:.-","provoke a physical change","provoquer un changement physique"
"O:M:.U:.-","move centripetally","bouger de fa√ßon centrip√®te"
"O:M:.A:.-","move centrifugally","bouger de fa√ßon centrifuge"
"U:M:.F:.-","move objectively","bouger objectivement"
"y.F:.-","perform a topological act","accomplir un acte topologique"
"y.U:.-","fold | wrap","plier | envelopper"
"y.A:.-","unfold | unwrap","d√©plier | d√©velopper"
"y.S:.-","sort | differentiate","trier | diff√©rentier"
"y.B:.-","tie | attach","nouer | attacher"
"y.T:.-","dig | pierce | sculpt","creuser | percer | sculpter"
"o.F:.-","manipulate valuable objects","manipuler des objets de valeur"
"o.U:.-","receive","recevoir"
"o.A:.-","send","envoyer"
"o.S:.-","bring | carry","transporter | amener"
"o.B:.-","catch | grasp","attraper | tenir"
"o.T:.-","keep","garder"
"e.F:.-","place / displace objects","placer / d√©placer des objets"
"e.U:.-","pull","tirer"
"e.A:.-","push","pousser"
"e.S:.-","disperse","disperser"
"e.B:.-","gather","rassembler"
"e.T:.-","build | combine","construire | combiner"
"u.F:.-","to move oneself","se d√©placer"
"u.U:.-","come","venir"
"u.A:.-","go","aller"
"u.S:.-","fly | travel through air","voler | voyager dans líair"
"u.B:.-","swim | travel on water","nager | voyager sur líeau"
"u.T:.-","to walk | to travel on land","marcher | rouler | voyager sur terre"
"a.U:.-","digest | assimilate","dig√©rer | assimiler"
"a.A:.-","excrete","excr√©ter"
"a.S:.-","breathe","respirer"
"a.B:.-","drink","boire"
"a.T:.-","eat","manger"
"i.U:.-","hit","frapper"
"i.A:.-","throw","lancer"
"i.S:.-","lift","soulever"
"i.B:.-","jump","sauter"
"i.T:.-","run","courir"
"O:O:.O:O:.-","live","vivre"
"O:O:.wo.-","sprout","germer"
"O:O:.wa.-","bloom","fleurir"
"O:O:.wu.-","produce fruit","porter fruit"
"O:O:.we.-","wane","d√©cliner"
"wo.O:O:.-","going through the symbolic cycle","traverser le cycle symbolique"
"wo.wo.-","be initiated","√™tre initi√©"
"wo.wa.-","celebrate","c√©l√©brer"
"wo.wu.-","get used","síhabituer"
"wo.we.-","mourn","d√©plorer la perte | faire son deuil"
"wa.O:O:.-","going through the daily cycle","traverser le cycle quotidien"
"wa.wo.-","wake up","sí√©veiller"
"wa.wa.-","strive","síactiver"
"wa.wu.-","eat | rest | entertain","se restaurer | se distraire"
"wa.we.-","fall asleep","síendormir"
"wu.O:O:.-","going through the age cycle","traverser les √¢ges"
"wu.wo.-","be a child","√™tre un enfant"
"wu.wa.-","be young","√™tre jeune"
"wu.wu.-","be mature","√™tre m√ªr"
"wu.we.-","grow old","vieillir"
"we.O:O:.-","going through the reproductive cycle","traverser le cycle reproducteur"
"we.wo.-","be born","na√Ætre"
"we.wa.-","make love | conceive","faire líamour | concevoir"
"we.wu.-","give birth","donner naissance"
"we.we.-","die","mourir"
"y.M:M:.-","obscure intelligence","obscurcir líintelligence"
"y.s.-","neglect intellectual discipline","n√©gliger la discipline intellectuelle"
"y.b.-","do not abstract","ne pas abstraire"
"y.t.-","forget","oublier"
"y.k.-","ignore relations","ignorer les relations"
"y.m.-","ignore emotions","ignorer ses √©motions"
"y.n.-","ignore principles","ignorer les principes"
"y.d.-","ignore facts","ignorer les faits"
"y.f.-","intoxicate","intoxiquer"
"y.l.-","ignore limits","ignorer ses limites | ignorer les limites"
"o.M:M:.-","dim human existence","assombrir líexistence humaine"
"o.s.-","have prejudices","avoir des pr√©jug√©s"
"o.b.-","misunderstand","mal comprendre"
"o.t.-","be late | procrastinate","√™tre en retard | procrastiner"
"o.k.-","break social bonds","briser les liens sociaux"
"o.m.-","lack empathy","manquer díempathie"
"o.n.-","be narrow-minded","√™tre ferm√© díesprit"
"o.d.-","lie","mentir"
"o.f.-","inflict suffering","faire souffrir"
"o.l.-","provoke chaos / confusion","provoquer le chaos / la confusion"
"e.M:M:.-","lack ability","manquer díhabilet√©"
"e.s.-","neglect codes","n√©gliger les codes"
"e.b.-","be incoherent","√™tre incoh√©rent"
"e.t.-","offend","offenser"
"e.k.-","be carried away by oneís passions","√™tre emport√© par ses passions"
"e.m.-","threaten","menacer"
"e.n.-","blindly conform","√™tre conformiste"
"e.d.-","be technically incompetent","√™tre techniquement incomp√©tent"
"e.f.-","neglect the body","n√©gliger le corps"
"e.l.-","undertake an impractical course of action","entreprendre une action irr√©aliste"
"u.M:M:.-","undermine the semiotic function","fragiliser la fonction s√©miotique"
"u.s.-","disfigure | deface","d√©figurer | rendre illisible"
"u.b.-","soliloquize","soliloquer"
"u.t.-","counterfeit | forge","contrefaire | faire un faux"
"u.k.-","use jargon","parler jargon"
"u.m.-","manipulate emotions","manipuler les √©motions"
"u.n.-","take refuge in anonymity","se r√©fugier dans líanonymat"
"u.d.-","lack precision","manquer de pr√©cision"
"u.f.-","shun sensations","fuir ses sensations"
"u.l.-","soil","salir"
"a.M:M:.-","undermine the social function","fragiliser la fonction sociale"
"a.s.-","interpret literally","prendre √† la lettre"
"a.b.-","interrupt transmission","interrompre la transmission"
"a.t.-","imitate | plagiarize","imiter | plagier"
"a.k.-","stir up conflict","attiser le conflit"
"a.m.-","give up","abandonner"
"a.n.-","corrupt","corrompre"
"a.d.-","be superficial","√™tre superficiel"
"a.f.-","physically assault","aggresser physiquement"
"a.l.-","transgress","transgresser"
"i.M:M:.-","undermine the technical function","fragiliser la fonction technique"
"i.s.-","block interfaces","bloquer les interfaces"
"i.b.-","cut off communication","rompre la communication"
"i.t.-","break | smash","briser | fracasser"
"i.k.-","steal","voler (quelque chose)"
"i.m.-","use weapons","utiliser des armes"
"i.n.-","provoke an accident","provoquer un accident"
"i.d.-","break down mechanism | wreck","d√©r√©gler | d√©traquer"
"i.f.-","be sick / injured","√™tre malade | √™tre bless√©"
"i.l.-","be caught in a trap","tomber dans un pi√®ge"
"M:O:.O:O:.-","generative mutation","mutation g√©n√©rative"
"j.O:O:.-","generative language change","changement de langage g√©n√©ratif"
