t.e.-m.u.-' , représentation dramatique , dramatic representation
b.i.-b.i.-t.u.-' , ubiquitaire , ubiquitous
d.wu.- , contrainte esthétique , aesthetic constraint
u.F:.- , se déplacer , to move oneself
k.o.-u.u.-s.y.-' , socio-linguistique , socio-linguistics
E:T:.p.- , but | pour | finalité , goal | for | purpose
t.e.-b.u.-wa.e.-' , compétence en éloquence , competence in eloquence
E:B:.f.- , à  droite de , at the right of
y.n.- , ignorer les principes , to ignore principles
x.p.- , partage , sharing
m.o.-h.h.-' , saints | grands exemples , saints | great examples
s.e.-d.u.-wa.e.-' , compétence en recherche d'information , competence in information search
E:U:.wu.- , ce masculin , this masculine
E:S:O:. , hypothèse si , hypothesis if
c.f.- , échec personnel | défaite personnelle , personal failure | personal defeat
d.i.-t.i.-t.u.-' , compté | mesuré , numbered | measured
o.d.- , mentir , to lie
b.y.- , intelligence formelle , formal intelligence
n.o.-n.o.-s.u.-' , humain , human
n.-T:.U:.-' , air | vent , air | wind
t.o.-o.o.-' , identité institutionnelle , institutional identity
k.a.-m.a.-' , fraternité , fraternity
E:F:T:. , plus , more
b.o.-s.o.-' , interprétation , interpretation
a.A:.- , excréter , to excrete
b.e.-b.u.-wa.e.-' , compétence en interprétariat | compétence en guidage , competence in interpreting | competence in guiding
t.-T:.A:.-' , saison pluvieuse , rainy season
m.we.- , acceptation des contraintes , acceptance of constraints
l.j.- , réseau d'influence dune œuvre artistique | réseau d'influence dune œuvre poétique , influence network of an artistic work | influence network of a poetic work
m.h.- , cohérence entre actes et paroles , coherence between speech and action
y.e.-we.h.-' , proposer des solutions , to propose solutions
m.u.-t.u.-d.u.-' , masqué | dissimulé , masked | concealed
b.i.-k.i.-' , place publique , public place
M:O:.f.- , obstacle face aux personnes , obstacle related to people
M:M:.o.-M:M:.o.-s.u.-' , qualités anthropologiques , anthropological qualities
l.a.-m.a.-' , alliance , alliance
f.o.-a.a.-' , population humaine , human population
e.b.- , être incohérent , to be incoherent
M:M:.e.- , habileté , ability
f.a.-b.a.-f.o.-' , musicien , musician
s.-T:.A:.-' , humide , wet
b.-B:.U:.-' , vert , green
O:M:.o.- , performer dans la volonté , to perform in will
k.u.-d.u.-' , aura , aura
k.e.-m.a.-wa.e.-' , compétence en amitié avec soi-même , competence in friendship with oneself
m.u.-s.u.-d.u.-' , fantasmé , fantasized
m.a.-f.a.-f.o.-' , aidant , helper
E:S:.e.- , pourra , will be able
E:S:.O:O:.- , première personne , first person
e.O:M:.- , performer sur une base de capacités , to perform on a basis of capacities
O:O:.F:.- , contrôler l'expérience sensori-motrice , to control sensori-motor experience
f.we.- , loisir | divertissement | récréation , leisure | entertainment | recreation
wo.wu.- , s'habituer , to get used
d.-S:.U:.-' , dur | rigide , hard | rigid
n.a.-d.a.-f.o.-' , client , customer
p.b.- , mauvaise réputation | rejet par les consommateurs , bad reputation | rejection from the consumers
E:T:M:. , distribution dans l'espace , space distribution
s.o.-o.o.-' , viabilité économique , economic sustainability
f.o.-d.o.-' , attention , attention
f.u.-n.u.-' , attribut , attribute
t.o.-m.o.-' , espérance , hope
f.o.-m.o.-' , passion , passion
l.o.-a.a.-s.y.-' , cartographie réseaux sociaux , social network cartography
u.e.- , juger , to judge
l.a.-t.a.-' , atlas , atlas
we.e.- , renouveler les compétences , to renew competences
k.u.-m.u.-' , stigmate , stigmata
s.a.-f.a.-' , psychothérapie , psychotherapy
b.o.-l.o.-' , transmission , transmission
t.a.-d.a.-' , investissement , investment
t.o.-l.o.-s.u.-' , simultané , simultaneous
l.u.-k.u.-' , miracle , miracle
e.T:.- , construire | combiner , to build | to combine
s.i.- , interface , interface
we.M:M:.- , cultiver un équilibre durable , to cultivate a sustainable equilibrium
j.i.- , développement de la pensée stratégique , strategic thinking development
p.M:O:.- , transformation sur base de capacités , transformation on ability basis
f.M:O:.- , connexion personnelle d'un cycle de création-innovation , personal connection of a creation-innovation cycle
E:O:.p.- , mode de définition virtuel , manner of definition virtual
b.o.-n.o.-' , poésie , poetry
s.a.-d.a.-' , conseil personnel , personal advice
k.o.-d.o.-s.u.-' , honnête , honest
t.g.- , thème traditionnel | thème récurrent , traditional theme | recurring theme
k.wu.- , communauté de goût , community of taste
E:F:.U:O:.- , nombre indifférent , indifferent number
s.o.-n.o.-s.u.-' , médité , meditated
e.wo.- , exploiter un talent | exploiter un don , to exploit a talent | to exploit a gift
k.g.- , public re-créé | communauté de média re-créée , re-created public | re-created media community
f.o.-n.o.-s.u.-' , pas | démarche , step | gait
k.o.-e.e.-' , corporation , corporation
g.o.- , assimilation de l'inconscient par l'égo , assimilation of the unconscious by the ego
k.u.-f.u.-' , sainteté , sanctity | holiness
o.A:.- , envoyer , to send
O:O:.p.- , gouverner le rapport aux objectifs , to govern the relation to objectives
E:B:.O:M:.- , temps présent , present tense
s.i.-n.i.-' , dispositif de réfrigération , cooling device
p.o.- , contemplation de l'objet de désir , contemplation of the object of desire
f.a.-b.a.-' , concert , concert
n.o.-o.o.-s.y.-' , sciences juridiques , legal sciences
f.e.-n.i.-' , survie , survival
wa.m.- , sublimer ses émotions , to sublimate one's emotions
h.m.- , incohérence entre les paroles et les actes , inconsistency between speech and act
t.u.-b.u.-' , texte , text
d.u.-t.u.-d.u.-' , ancre , anchor
d.e.-b.i.-wa.e.-' , compétence en la maîtrise techniques de communication , competence in the mastery of communication techniques
E:U:.j.- , par contraste | mais | pourtant | au contraire , by contrast | but | and yet | on the contrary
i.k.- , voler quelque chose , to steal
t.o.-t.o.-' , changement , change
f.o.-k.o.-' , rite , rite
b.o.-t.o.-s.u.-' , promis , promised
l.o.-e.e.-' , emploi , employment
t.o.-a.a.-s.y.-' , généalogie , genealogy
t.e.-d.u.-' , problématique informationnelle , informational problem
M:U:. , mutation virtuelle , virtual mutation
t.x.- , calendrier d'un projet | budget d'un projet , calendar of a project | budget of a project
l.o.-e.e.-s.y.-' , marché du travail , labour market
wo.f.- , expérimenter de nouvelles habitudes corporelles , to experiment new bodily habits
e.s.- , négliger les codes , to neglect codes
wu.k.- , être sensible aux rapports humains , to be sensitive to human relations
k.x.- , équipe de projet renouvelée , renewed project team
s.wo.- , stratégie , strategy
E:B:O:. , croyance , belief
f.o.-f.o.-' , corps , body
k.a.-t.a.-' , administration | bureau , administration | office
l.wo.- , liberté de pensée , freedom of thought
k.u.-k.u.-' , divin , divine
j.O:O:.- , changement de langage génératif , generative language change
wo.O:M:.- , identifier les points clé de son activité , to identify key-points of one's activity
b.h.- , réinterprétation du contexte , context reinterpretation
s.u.-b.u.-' , phrase , phrase
m.u.- , symptôme , symptom
l.o.-h.h.-' , paysage sacré | espace sacré , sacred landscape | sacred space
m.o.-b.o.-s.u.-' , exprimé , expressed
k.e.-f.a.-wa.e.-' , compétence en soin de soi-même , competence in taking care of oneself
O:O:.O:O:.- , vivre , to live
a.j.- , assumer son style , to assume one's style
f.o.-m.o.-s.u.-' , joyeux , joyful
n.o.-b.o.-' , style , style
wu.A:.- , toucher | reconnaître des formes tactiles , to touch | to recognize tactile forms
wu.M:M:.- , cultiver la subtilité de la perception , to cultivate subtlety of perception
d.u.- , pointeur , pointer
o.p.- , choisir un sujet , to choose a subject
p.wu.- , création d'un objectif | destruction d'un objectif , creation of an objective | destruction of an objective
M:M:.j.- , cycle de création-innovation poétique , poetic creation-innovation cycle
M:M:.-T:.U:.-' , zénith abstrait , abstract zenith
M:O:.M:M:.- , obstacle , obstacle
m.u.-m.u.-d.u.-' , autre , other
E:B:.j.- , mutation , mutation
a.o.- , suivre , to follow
f.a.-k.a.-f.o.-' , hôte , host
k.y.- , intelligence relationnelle , relational intelligence
u.wo.- , publier | exposer une oeuvre originale , to publish | to exhibit an original work
m.o.-o.o.-' , problème social , social problem
wo.k.- , semer les graines du changement social , to plant the seeds of social change
M:M:.wu.- , sources esthétiques du sens , aesthetic sources of meaning
m.-T:.A:.-' , tristesse , sadness
s.a.-k.a.-f.o.-' , politicien , politician
u.T:.- , marcher | rouler | voyager sur terre , to walk | to travel on land
s.u.-m.u.-' , rêve , dream
t.a.-t.a.-' , fondation , foundation
M:O:.b.- , obstacle dans le langage , obstacle in language
we.we.- , mourir , to die
d.o.-y.y.-' , paradigme | épistémé , paradigm | episteme
m.i.-s.i.-t.u.-' , piégé , trapped
d.i.-l.i.-t.u.-' , adresse | indicateur , address | indicator
x.wa.- , nouveau véhicule | nouvel outil , new vehicle | new tool
f.a.-k.a.-' , accueil | hospitalité , welcome | hospitality
f.o.-o.o.-s.y.-' , gestion des ressources humaines , human resources management
O:M:.O:M:.- , performer , to perform
b.u.-b.u.-d.u.-' , signifiant , significant
m.i.-f.i.-t.u.-' , caressé , caressed
n.a.- , juge , judge
t.O:O:.- , sources du sens dans la mémoire , sources of meaning in memory
x.k.- , manque de ressources humaines , lack of human resources
s.h.- , projet culturel | dimension culturelle d'un projet de création-innovation , cultural project | cultural dimension of a creation-innovation project
O:O:.wo.- , germer , to sprout
M:M:.a.-M:M:.a.-' , fonctions sociales , social functions
E:S:.a.- , s'engagera , will commit
k.o.-o.o.-' , régime politique , political regime
y.i.- , expliciter | formaliser , to explicitate | to formalize
t.o.-u.u.-s.y.-' , histoire de la communication , history of communication
m.u.-k.u.-d.u.-' , sacrifié , sacrificed
E:T:.wo.- , il , it
l.o.-y.y.-s.y.-' , muséologie , museology
p.O:O:.- , changement d'objet génératif , generative object change
m.wa.- , audace , audacity
t.e.-k.u.-' , symbole original , original symbol
E:T:A:. , par expérience | à  partir des faits , by experience | from the facts
s.i.-l.i.-' , articulation physique , articulation | joint
d.o.-i.i.-s.y.-' , protocole d'expérimentation | protocole d'observation , experimental protocol | observational protocol
O:O:.y.- , travailler les savoirs , to work on knowledge
f.wa.- , activité physique , physical activity
O:M:.c.- , travailler sur soi , to work on oneself
s.o.-h.h.-' , transcendance , transcendence
h.O:M:.- , processus sémantique actualisant virtuel , actualizing semantic process virtual
n.wo.- , exercice spirituel , spiritual exercise
n.u.-s.u.-' , forme d'ensemble | structure d'ensemble , overall form | overall structure
M:O:.s.- , obstacle initial , initial obstacle
l.e.- , compétence en ingénierie rhétorique , engineering competence rhetoric
O:O:.T:.- , contrôler l'expérience motrice , to control motor experience
t.a.-m.a.-' , ascendance , ancestry
n.i.-d.i.-t.u.-' , rapide , quick
f.-T:.U:.-' , goût piquant , spicy
i.wu.- , équiper un territoire | équiper une collectivité , to equip a territory | to equip a collectivity
b.o.-l.o.-s.u.-' , transmis , transmitted
p.n.- , absence d'initiative économique , lack of economic initiative
d.a.-k.a.-' , inspection , inspection
s.o.-o.o.-s.y.-' , sciences du management , management sciences
s.o.-y.y.-' , méthode scientifique , scientific method
we.a.- , renouveler ses engagements , to renew one's commitments
m.c.- , respect des personnes , respect of people
d.i.-n.i.-t.u.-' , piloté , steered
k.-T:.A:.-' , lourd , heavy
f.i.-s.i.-' , prothèse , prosthesis
l.o.-s.o.-s.u.-' , exploré , explored
l.o.-b.o.-s.u.-' , composé , composed
s.u.-f.u.-' , perception , perception
E:F:.M:M:.- , où | lieu , where | place
k.o.-i.i.-' , technologie | procédé technique , technology | technical process
wu.p.- , mesurer la distance aux objectifs , to measure the distance to the objectives
wa.wu.- , se restaurer | se distraire , to eat | to rest | to entertain oneself
O:M:.p.- , travailler le sujet , to work on the subject
e.x.- , s'approprier des outils , to make tools one's own
E:A:.M:O:.- , manière positive , positive manner
l.i.-f.i.-t.u.-' , puissant | agile , powerful | agile
s.u.- , image , image
h.a.- , adhésion aux valeurs du groupe , adherence to the values of the community
c.O:O:.- , changement personnel génératif , generative personal change
g.c.- , renouvellement d'un vœu | renouvellement dune promesse , vow renewal | promise renewal
U:+M: , réseaux virtuels , virtual networks
O:O:.M:O:.- , gouverner , to govern
f.o.-x.x.-' , biomolécule active , active biomolecule
f.e.-l.i.-' , combat , fight
k.o.-y.y.-s.y.-' , sociologie arts / sciences , sociology arts / sciences
f.e.-t.i.-wa.e.-' , compétence en conduite , competence in driving
E:O:.d.- , bas direction | derrière direction , low direction | behind direction
E:A:M:. , variation quantitative , quantity variation
O:M:.M:.- , provoquer un changement physique , to provoke a physical change
E:A:.l.- , après , after
n.i.-b.i.-t.u.-' , éclairé , lighted
E:T:.O:M:.- , temps passé , past tense
m.o.-u.u.-' , littérature ancienne , ancient literature
j.wa.- , changement de justifications , change of justifications
u.d.- , manquer de précision , to lack precision
O:O:.l.- , fournir des ressources à  l'action par l'extension spatiale , to provide resources for action through spatial extension
A:+T: , réseaux corporels , corporeal networks
m.o.-k.o.-' , compassion , compassion
l.e.-t.i.-wa.e.-' , compétence en conception de véhicules , competence in vehicle design
y.o.-we.h.-' , définir les problèmes , to define problems
wa.i.- , utiliser l'équipement , to use equipment
s.e.-k.u.-wa.e.-' , compétence en lecture | compétence en écriture , competence in reading | competence in writing
l.i.-n.i.-' , outil coupant | outil perçant , cutting tool | piercing tool
E:U:.f.- , sous , under
s.o.-l.o.-s.u.-' , proportionné , proportioned
m.e.-d.a.-wa.e.-' , compétence en recherche de la vérité , competence in truth seeking
n.i.-s.i.-t.u.-' , en mouvement , in motion
j.n.- , cliché | platitude , clichÃ© | platitude
d.i.-s.i.-' , circuit intégré , integrated circuit
k.e.-n.a.-' , éthique , ethics
d.i.- , instrument de mesure , measuring instrument
wu.wo.- , être un enfant , to be a child
d.u.-f.u.-d.u.-' , présent , present
E:T:.k.- , par itinéraire | véhicule , by itinerary | vehicle
t.o.-k.o.-s.u.-' , traditionnel , traditional
d.i.-l.i.-' , lieu | site , place | site
b.wu.- , rencontre esthétique , aesthetic encounter
k.i.-b.i.-t.u.-' , logiciel , software
s.o.-j.j.-s.y.-' , philosophie , philosophy
c.k.- , sclérose du lien , sclerosis of the bond
E:S:T:. , toujours , always
d.a.-d.a.-' , invention , invention
E:M:.k.- , intermédiaire structurel , structural intermediary
n.u.-l.u.-' , piste , trail
l.a.-f.a.-' , environnement naturel , natural environment
O:M:. , agir , to act
wu.T:.- , reconnaître des formes de mouvements | reconnaître des formes de manipulations , to recognize shapes of movement | to recognize forms of manipulation
g.t.- , incongruité | propos inopportun , inappropriate expression | untimely expression
k.o.-s.o.-s.u.-' , gouverné , governed
f.e.- , habileté sensorimotrice dialectique , sensor-motor ability dialectic
n.a.-b.a.-' , nouvelle , news
i.p.- , construire son sujet , to construct one's subject
t.we.- , régularité , regularity
e.g.- , s'approprier un discours , to make a discourse one's own
m.i.-d.i.-t.u.-' , ciblé , targeted
m.e.-b.a.-wa.e.-' , compétence en paroles sages , competence in speaking wisely
m.o.-d.o.-' , sincérité , sincerity
E:M:O:. , inférence , inference
s.o.-u.u.-s.y.-' , sémiologie , semiology
t.o.-a.a.-' , lignée , lineage
k.u.-b.u.-' , révélation , revelation
a.s.- , prendre à  la lettre , to interpret literally
E:O:.O:M:.- , diathèse | voix grammaticale , diathesis | grammatical voice
m.a.-s.a.-f.o.-' , médiateur , mediator
E:B:.n.- , proche de , near
b.i.-b.i.-' , cyberespace , cyberspace
d.a.-n.a.-f.o.-' , témoin , witness
f.e.-f.i.-wa.e.-' , compétence en athlétisme , competence in athletics
wo.o.- , établir des principes , to establish principles
c.wa.- , changement d'alliance , alliance shift
l.e.-f.i.-wa.e.-' , compétence en biotechnologie , competence in biotechnology
o.l.- , provoquer le chaos | provoquer la confusion , to provoke chaos | to provoke confusion
E:B:T:. , souvent , often
t.o.-j.j.-s.y.-' , histoire des formes de conscience , history of forms of consciousness
t.-S:.U:.-' , hiver , winter
s.o.-a.a.-' , collectivité humaine , human collectivity
M:M:.O:O:.- , ressources du sens , resources of meaning
f.o.-j.j.-s.y.-' , théories de l'évolution , evolution theories
m.o.-c.c.-s.y.-' , sciences de la médiation , mediation studies
O:M:.wo.- , gagner en puissance créative , to gain in creative power
we.wa.- , faire l'amour | concevoir , to make love | to conceive
M:M:.-T:.A:.-' , nadir abstrait , abstract nadir
m.p.- , service rendu , rendered service
we.n.- , accepter le jugement des pairs , accept the judgement of peers
wa.M:O:.- , perfectionner les cadres de l'activité , to improve frameworks
x.g.- , transformation de la dette , debt transformation
d.a.-l.a.-f.o.-' , agent de renseignements , intelligence agent
O:M:.g.- , travailler le discours , to work on the discourse
wo.U:.- , contrôler le son , to control sound
x.we.- , mutation de l'environnement naturel , mutation of natural environment
k.o.-h.h.-s.y.-' , ecclésiologie , ecclesiology
k.o.-t.o.-s.u.-' , passé , past
l.a.-b.a.-' , réputation , reputation
t.i.-n.i.-t.u.-' , chauffé , heated
y.e.- , analyser , to analyze
d.i.-b.i.-' , ordinateur , computer
A:+S: , réseaux documentaires , documentary networks
l.a.- , gardien , guardian
d.e.-d.i.-wa.e.-' , compétence en contrôle | compétence en mesure , competence in control | competence in measure
O:O:.u.- , travailler la communication , to work on communication
M:O:.o.- , condition du vouloir , condition of will
l.u.-b.u.-' , transcription , transcription
we.S:.- , cacher | protéger de la vue , to hide | to protect from sight
p.j.- , nouvelle synthèse , new synthesis
M:O:.wu.- , mutation de la perception , perception mutation
E:U:.s.- , en haut | vers le haut , up | towards the top
x.x.- , mutation de la production , production mutation
f.i.-k.i.-t.u.-' , comestible | potable , edible | drinkable
u.m.- , manipuler les émotions , to manipulate emotions
E:A:.y.- , connaissant , knowing
k.u.-n.u.-d.u.-' , tribal , tribal
m.a.-t.a.-f.o.-' , notaire , notary
O:M:.y.-we.h.-' , perfectionner l'intelligence collective en augmentant le savoir , to improve collective intelligence by augmenting knowledge
f.u.-b.u.-d.u.-' , accentué , accentuated
m.e.-n.a.-' , personne choisie , chosen person
i.c.- , se réconcilier avec ses obstacles , to come to term with one's obstacles
b.o.-m.o.-s.u.-' , beau , beautiful
i.M:O:.- , achever sa production | améliorer sa production , to achieve one's production | to improve one's production
E:M:B:. , medium distributif , distributive medium
n.o.-u.u.-' , mot | morphème , word | morpheme
t.o.- , moment opportun , right time
O:M:.t.- , agir à  contretemps , to act off the beat
A:+M: , réseaux actuels , actual networks
h.e.- , conquête de la légitimité , conquest of legitimacy
n.u.-b.u.-' , proposition | affirmation , proposition | assertion
l.u.-n.u.-d.u.-' , ayant lieu | survenant , happening | occuring
d.u.-d.u.-d.u.-' , saillant , salient
l.o.-c.c.-s.y.-' , géographie , geography
m.-M:.O:.-' , émotion , emotion
y.O:M:.- , performer sur une base de savoir , to perform on a basis of knowledge
M:M:.o.-o.o.-s.y.-' , sciences de l'orientation et de l'administration des institutions , sciences of orientation and administration of institutions
u.B:.- , nager | voyager sur l'eau , to swim | to travel on water
g.g.- , mutation du discours , discourse mutation
E:S:.n.- , voyage | trajet , travel | route
M:M:.-M:.O:.-' , six directions abstraites , six abstract directions
s.u.-b.u.-d.u.-' , énoncé , enunciated
l.e.-b.i.-' , monde virtuel , virtual world
d.o.-k.o.-s.u.-' , sûr , sure
E:U:.b.- , sur , onto
n.u.-k.u.-d.u.-' , excellent , excellent
E:O:.h.- , mode de tropisme virtuel , manner of tropism virtual
E:A:.h.- , en cherchant | vers , seeking | heading towards
j.we.- , adaptation culturelle | transfert culturel , cultural adaptation | cultural transfer
j.a.- , apprentissage du langage du groupe , learning of the community's language
E:U:.M:M:.- , axe vertical , vertical axis
m.u.-b.u.-' , sortilège , spell
O:O:.h.- , gouverner le sens de l'entreprise , to govern the meaning of the enterprise
y.u.-we.h.-' , enregistrer une œuvre de l'esprit , to record a work of the mind
f.o.-u.u.-s.y.-' , musicologie , musicology
n.a.-s.a.-f.o.-' , adulte , adult
wu.t.- , comprendre les causes , to understand causes
l.u.-m.u.-d.u.-' , habituel , usual
E:U:T:. , meilleur , better
wa.e.- , maîtriser les compétences , to master competences
k.a.-b.a.-f.o.-' , spectateur , spectator
e.k.- , être emporté par ses passions , to be carried away by one's passions
U:+S: , réseaux de connaissances , networks of knowledge
wu.c.- , évaluer la communauté , to assess the community
s.o.-s.o.-' , esprit , mind
k.e.-s.a.-wa.e.-' , compétence en compréhension de soi-même , competence in understanding oneself
s.-S:.U:.-' , froid , cold
d.u.-d.u.-' , signal , signal
E:T:.g.- , matière , matter
o.y.- , choisir , to choose
M:M:. , base , basis
f.i.- , organe , organ
m.O:O:.- , sources du sens dans le rapport affectif , sources of meaning in affective relation
k.p.- , partenariat économique renouvelé , renewed economic partnership
E:O:O:. , construction logique , logical construction
b.o.-n.o.-s.u.-' , poétique , poetical
l.-T:.A:.-' , nadir spatial , spatial nadir
E:M:.g.- , cause formelle actuelle , actual formal cause
U:+T: , réseaux de pouvoirs , networks of powers
