"o.wa.-","use administrative /commercial law"
"s.u.-m.u.-’","dream"
"O:M:.c.-","work on oneself"
"f.wa.-","physical activity"
"h.O:M:.-","actualizing semantic process (virtual)"
"n.wo.-","spiritual exercise"
"t.a.-m.a.-’","ancestry"
"d.i.-n.i.-t.u.-’","steered"
"M:O:.s.-","initial obstacle"
"k.-T:.A:.-’","heavy"
"O:O:.T:.-","control motor experience"
"l.e.-","engineering competence (rhetoric)"
"f.i.-s.i.-’","prosthesis"
"l.o.-s.o.-s.u.-’","explored"
"i.wu.-","equip a territory / a collectivity"
"p.n.-","lack of economic initiative"
"f.a.-k.a.-f.o.-’","host"
"we.a.-","renew commitments"
"m.c.-","respect of people"
"b.o.-l.o.-s.u.-’","transmitted"
"E:F:.M:M:.-","where | place"
"y.o.-we.h.-’","define problems"
"wu.p.-","measure the distance to the objectives"
"O:M:.p.-","work on the subject"
"wa.wu.-","eat | rest | entertain"
"e.x.-","make tools one’s own"
"f.e.-l.i.-’","fight"
"l.i.-n.i.-’","cutting tool | piercing tool"
"E:A:.M:O:.-","positive manner"
"s.u.-","image"
"h.a.-","adherence to the values of the community"
"n.i.-b.i.-t.u.-’","lighted"
"s.u.-f.u.-’","perception"
"c.O:O:.-","generative personal change"
"g.c.-","vow renewal | promise renewal"
"O:O:.M:O:.-","govern"
"k.e.-m.a.-wa.e.-’","friendship with oneself"
"l.e.-t.i.-wa.e.-’","vehicle design"
"E:O:.d.-","low (direction) | behind (direction)"
"E:A:M:.","quantity variation"
"O:M:.M:.-","provoke a physical change"
"E:A:.l.-","after"
"k.i.-b.i.-t.u.-’","software"
"E:T:.O:M:.-","past tense"
"j.wa.-","change of justifications"
"l.i.-f.i.-t.u.-’","powerful | agile"
"u.d.-","lack precision"
"O:O:.l.-","provide resources for action through spatial extension"
"s.e.-k.u.-wa.e.-’","reading | writing"
"f.e.-t.i.-wa.e.-’","driving"
"wa.i.-","use equipment"
"E:U:.f.-","under"
"d.u.-f.u.-d.u.-’","present"
"m.o.-k.o.-’","compassion"
"j.n.-","clichÃ© | platitude"
"l.a.-m.a.-’","alliance"
"d.i.-","measuring instrument"
"wu.wo.-","be a child"
"E:T:.k.-","by (itinerary | vehicle)"
"M:M:.o.-M:M:.o.-s.u.-’","anthropological qualities"
"l.a.-f.a.-’","natural environment"
"n.i.-s.i.-t.u.-’","in motion"
"b.wu.-","aesthetic encounter"
"d.i.-s.i.-’","integrated circuit"
"c.k.-","sclerosis of the bond"
"m.e.-d.a.-wa.e.-’","truth seeking"
"E:S:T:.","always"
"E:M:.k.-","structural intermediary"
"d.i.-l.i.-’","place | site"
"s.-A:.U:.-B:.U:.-’","performance: choice"
"O:M:.","act"
"m.e.-b.a.-wa.e.-’","speaking wisely"
"n.a.-b.a.-’","news"
"d.a.-d.a.-’","invention"
"wu.T:.-","recognize shapes of movement / forms of manipulation"
"g.t.-","inappropriate expression | untimely expression"
"n.u.-l.u.-’","trail"
"f.e.-","sensorimotor ability (dialectic)"
"m.o.-d.o.-’","sincerity"
"k.o.-s.o.-s.u.-’","governed"
"i.p.-","construct one’s subject"
"t.we.-","regularity | recurrence | repetition"
"e.g.-","make a discourse one’s own"
"k.e.-n.a.-’","ethics"
"E:M:O:.","inference mode"
"s.o.-l.o.-s.u.-’","proportioned"
"a.s.-","interpret literally"
"E:O:.O:M:.-","diathesis | grammatical voice"
"M:M:.-T:.A:.-’","abstract nadir"
"E:B:.n.-","near"
"d.a.-m.a.-f.o.-’","child"
"k.u.-b.u.-’","revelation"
"wo.o.-","establish principles"
"c.wa.-","alliance / partnership shift"
"n.a.-t.a.-f.o.-’","lawyer"
"o.l.-","provoke chaos / confusion"
"E:B:T:.","often"
"M:M:.O:O:.-","resources of meaning"
"b.i.-b.i.-’","cyberspace"
"t.-S:.U:.-’","winter"
"l.e.-f.i.-wa.e.-’","biotechnology"
"f.e.-f.i.-wa.e.-’","athletics"
"d.a.-l.a.-f.o.-’","intelligence agent"
"m.a.-s.a.-f.o.-’","mediator"
"O:M:.wo.-","gain in creative power"
"we.wa.-","make love | conceive"
"m.p.-","rendered service"
"we.n.-","accept the judgement of peers"
"wa.M:O:.-","improve frameworks"
"x.g.-","debt transformation"
"O:M:.g.-","work on the discourse"
"k.u.-n.u.-d.u.-’","tribal"
"wo.U:.-","control sound"
"x.we.-","mutation of natural environment"
"m.a.-t.a.-f.o.-’","notary"
"y.e.-","analyze"
"k.o.-t.o.-s.u.-’","past"
"l.a.-","guardian"
"d.e.-d.i.-wa.e.-’","control | measure"
"l.a.-b.a.-’","reputation"
"d.i.-b.i.-’","computer"
"O:O:.u.-","work on communication"
"M:O:.o.-","condition of will"
"f.i.-k.i.-t.u.-’","edible | drinkable"
"we.S:.-","hide | protect from sight"
"p.j.-","new synthesis"
"M:O:.wu.-","perception mutation"
"d.a.-n.a.-f.o.-’","witness"
"f.u.-b.u.-d.u.-’","accentuated"
"x.x.-","production mutation"
"E:U:.s.-","up | towards the top"
"t.i.-n.i.-t.u.-’","heated"
"u.m.-","manipulate emotions"
"O:M:.y.-we.h.-’","improve collective intelligence by augmenting knowledge"
"E:A:.y.-","knowing"
"l.u.-b.u.-’","transcription"
"n.u.-b.u.-’","proposition | assertion"
"i.c.-","come to term with one’s obstacles"
"d.u.-d.u.-d.u.-’","salient"
"i.M:O:.-","achieve / improve one’s production"
"E:M:B:.","distributive medium"
"y.u.-we.h.-’","record a work of the mind"
"t.o.-","right time"
"O:M:.t.-","act off the beat"
"l.e.-b.i.-’","virtual world"
"h.e.-","conquest of legitimacy"
"b.o.-m.o.-s.u.-’","beautiful"
"l.u.-n.u.-d.u.-’","happening | occuring"
"y.O:M:.-","perform on a basis of knowledge"
"u.B:.-","swim | travel on water"
"g.g.-","discourse mutation"
"E:S:.n.-","travel | route"
"E:U:.b.-","onto"
"m.u.-b.u.-’","spell"
"E:O:.h.-","manner of tropism (virtual)"
"E:A:.h.-","seeking | heading towards"
"m.-M:.O:.-’","emotion"
"E:M:.x.-","actual existential cause"
"s.-O:.O:.-S:.O:.-’","reason"
"j.we.-","cultural adaptation / transfer"
"j.a.-","learning of the community’s language"
"E:U:.M:M:.-","vertical axis"
"k.e.-s.a.-wa.e.-’","understanding oneself"
"d.o.-k.o.-s.u.-’","sure"
"n.u.-k.u.-d.u.-’","excellent"
"M:M:.-M:.O:.-’","six abstract directions"
"O:O:.h.-","govern the meaning of the enterprise"
"l.u.-m.u.-d.u.-’","usual"
"m.e.-n.a.-’","chosen person"
"wu.t.-","understand causes"
"s.o.-s.o.-’","mind"
"E:U:T:.","better"
"wa.e.-","master competences"
"e.k.-","be carried away by one’s passions"
"wu.c.-","assess the community"
"n.a.-s.a.-f.o.-’","adult"
"s.-S:.U:.-’","cold"
"E:T:.g.-","matter"
"o.y.-","choose"
"l.-T:.A:.-’","spatial nadir"
"M:M:.","becoming"
"b.o.-n.o.-s.u.-’","poetical"
"s.u.-t.u.-’","ideogram"
"n.-M:.O:.-’","element"
"n.e.-n.a.-’","moral refinement"
"k.a.-b.a.-f.o.-’","spectator"
"s.u.-b.u.-d.u.-’","enunciated"
"f.i.-","organ"
"m.O:O:.-","sources of meaning in affective relation"
"k.p.-","renewed economic partnership"
"E:O:O:.","logical construction"
"E:M:.g.-","actual formal cause"
"E:E:A:.","genitive (of)"
"c.o.-","acceptance of prohibition | renunciation"
"i.t.-","break | smash"
"E:F:.we.-","feminine gender"
"g.x.-","credit transformation"
"t.wa.-","chance | unexpected events | serendipity"
"s.M:O:.-","creation-innovation cycle project"
"a.b.-","interrupt transmission"
"d.u.-d.u.-’","signal"
"E:M:S:.","distributive minus"
"E:T:.x.-","mean"
"m.u.-l.u.-d.u.-’","remembered"
"e.y.-we.h.-’","provide tools for research"
"e.n.-","blindly conform"
"f.i.-f.i.-’","organism"
"l.o.-d.o.-’","orientation"
"o.x.-","find one’s bearings in the steps of work"
"O:M:.F:.-","move | accomplish a physical action"
"wo.c.-","think about possible communities"
"E:S:.h.-","operator"
"E:O:T:.","comparative plus"
"n.a.-m.a.-f.o.-’","father"
"m.a.-k.a.-f.o.-’","neighbor"
"t.e.-k.u.-wa.e.-’","symbol creation"
"f.a.-t.a.-’","insurance"
"b.i.-n.i.-’","musical instrument"
"E:M:.S:O:.-","formal cause | formal role"
"p.e.-","familiarization with the domain of competence"
"a.T:.-","eat"
"s.e.-d.u.-’","obtained information"
"E:A:.we.-","her | my (feminine) | your (feminine)"
"m.u.-n.u.-d.u.-’","subjective"
"n.-S:.U:.-’","earth"
"m.u.-s.u.-’","fantasy"
"d.p.-","economic intelligence"
"f.o.-s.o.-s.u.-’","surreal | mythical"
"k.o.-f.o.-’","collaboration"
"O:O:.b.-","provide resources for action through language-games"
"s.e.-s.u.-wa.e.-’","drawing | painting"
"f.u.-k.u.-d.u.-’","glimpsed"
"E:B:.a.-","commit (now)"
"we.j.-","maintain a unifying symbolic system"
"M:O:.wa.-","action mutation"
"a.wo.-","create a scientific work | an artistic work"
"b.u.-s.u.-’","metaphor | similarity"
"E:F:.A:O:.-","neutral gender"
"b.a.-f.a.-’","care"
"f.i.-s.i.-t.u.-’","assisted"
"n.i.-","fire | technical transformation"
"x.s.-","design flaw"
"E:B:.M:O:.-","interactive cause"
"wu.B:.-","smell | taste | recognize chemical forms"
"o.g.-","choose one’s discourse"
"y.we.-","assume a family tradition / identity"
"s.wa.-","tactic"
"c.a.-","personal identification to the community"
"t.a.-n.a.-f.o.-’","legislator"
"O:M:.o.-we.h.-’","improve collective intelligence by augmenting governance"
"wo.t.-","remember"
"i.u.-we.h.-’","speak out"
"s.p.-","economic project | economic dimension of a creation-innovation project"
"t.u.-t.u.-’","number"
"E:S:.y.-","will know"
"g.j.-","new response"
"m.e.-l.a.-wa.e.-’","abiding by law"
"t.u.-b.u.-d.u.-’","written"
"f.e.-b.i.-wa.e.-’","dancing"
"E:O:.k.-","middle (direction) | center (direction)"
"t.-T:.U:.-’","dry season"
"n.u.-l.u.-d.u.-’","retraced"
"h.h.-","ethical mutation"
"n.a.-s.a.-’","majority"
"j.d.-","double talk | mimicry | parroting"
"E:U:.o.-","wanted"
"u.y.-","respond"
"wu.u.-","reorient oneself into communication modes"
"i.f.-","be sick / injured"
"wu.h.-","assess the interpretation mode"
"e.A:.-","push"
"O:M:.h.-","work on the interpretation"
"l.i.-b.i.-’","simulation"
"b.a.-t.a.-’","accounts"
"t.a.-n.a.-’","law"
"l.a.-m.a.-f.o.-’","ally"
"g.M:O:.-","transformation on expressive basis"
"d.-B:.U:.-’","rough"
"E:M:.d.-","structural termination"
"u.wu.-","express oneself in the media"
"y.d.-","ignore facts"
"wa.U:.-","broadcast / display voice & sound"
"E:T:.b.-","(passage) out of"
"s.-A:.U:.-T:.U:.-’","project: strategy"
"j.u.-","invention / generation of ideas"
"m.a.-m.a.-’","family"
"d.u.-k.u.-d.u.-’","erect"
"x.f.-","non repaired breakdown | inefficiency"
"o.wo.-","use intellectual property law"
"s.e.-b.u.-wa.e.-’","mastering a second language"
"h.y.-","attendance to a learning institution / a school"
"s.-B:.U:.-’","growing | increasing | waxing"
"f.O:O:.-","sources of meaning in the body"
"O:T:.","act according to thing"
"b.c.-","ability to gather people"
"f.i.-n.i.-’","weapon"
"s.e.-s.u.-’","drawing | painting"
"k.a.-k.a.-f.o.-’","citizen"
"f.u.-d.u.-’","exclamation"
"t.M:O:.-","inscription in time of a creation-innovation cycle"
"u.l.-","soil"
"n.e.-k.a.-wa.e.-’","leading by example"
"y.i.-we.h.-’","transfer knowledge in the practical field"
"a.e.-","offer | supply"
"E:A:.t.-","before"
"f.e.-k.i.-’","team spirit"
"wa.a.-","cultivate one’s character"
"E:B:.e.-","can (now)"
"k.o.-t.o.-’","history"
"k.o.-n.o.-’","justice"
"s.-S:.A:.-’","hot"
"k.e.-k.a.-wa.e.-’","following a discipline"
"E:T:.s.-","from"
"g.wu.-","gestalt switch"
"k.e.-t.a.-’","personal memory"
"d.o.-s.o.-s.u.-’","reasonable"
"i.T:.-","run"
"d.a.-d.a.-f.o.-’","inventor"
"y.O:O:.-","assume an identity"
"o.T:.-","keep"
"f.i.-d.i.-t.u.-’","detected | sensed"
"s.i.-k.i.-t.u.-’","harvested"
"b.a.-s.a.-f.o.-’","reader"
"i.O:O:.-","equip"
"O:O:.s.-","provide resources for action through intellectual openness"
"f.o.-d.o.-s.u.-’","focal"
"m.u.-k.u.-’","sacrifice"
"f.a.-f.a.-’","growing | farming"
"M:O:.m.-","affective / ethical obstacle"
"d.o.-m.o.-’","intuition"
"E:A:.c.-","pro | for | support"
"O:M:.y.-","perform in knowledge"
"d.o.-s.o.-’","reasoning"
"t.u.-f.u.-’","melody"
"t.u.-l.u.-’","photograph"
"n.o.-t.o.-s.u.-’","in progress"
"l.e.-f.i.-’","modified bioevolution"
"b.u.-k.u.-’","prayer"
"k.wa.-","community of action"
"f.a.-l.a.-’","disaster"
"o.t.-","be late | procrastinate"
"O:M:.M:O:.-","create a work of the mind"
"f.u.-s.u.-d.u.-’","imagined"
"m.o.-k.o.-s.u.-’","benevolent"
"l.e.-t.i.-’","transport system"
"n.o.-m.o.-s.u.-’","confident"
"f.-T:.A:.-’","bland"
"i.wo.-","equip scientific / artistic activity"
"e.u.-we.h.-’","provide tools for information search"
"wo.g.-","reflect on other communication modes"
"f.p.-","commercial relationship | commercial contact"
"M:O:.A:M:.-","condition of actual activity"
"E:S:.d.-","(at the) end"
"s.-U:.A:.-B:.A:.-’","affect: weight"
"s.-O:.O:.-S:.A:.-’","existential reason"
"f.o.-k.o.-s.u.-’","ritual"
"m.x.-","atmosphere of collaboration"
"p.a.-","contemplation of the community"
"wa.F:.-","display sensorimotricity"
"e.S:.-","disperse"
"M:M:.-B:.A:.-’","abstract west"
"f.e.-l.i.-wa.e.-’","martial arts"
"a.M:M:.-","undermine the social function"
"d.i.-s.i.-t.u.-’","electronics | photonics"
"f.u.-s.u.-’","mental image"
"t.u.-f.u.-d.u.-’","sequential"
"we.f.-","satisfy one’s primary needs"
"m.i.-f.i.-’","skin"
"t.u.-t.u.-d.u.-’","quantity"
"m.wu.-","taste for life"
"n.e.-","leadership (rhetoric)"
"b.i.-n.i.-t.u.-’","virtuoso"
"y.m.-","ignore emotions"
"a.B:.-","drink"
"x.o.-","enjoyment"
"n.i.-m.i.-’","paid work"
"j.h.-","priority change"
"d.c.-","authenticity"
"a.O:M:.-","perform on a social basis"
"c.e.-","seizure of power"
"o.c.-","orient one’s personal path"
"b.a.-l.a.-’","transportation"
"t.j.-","artistic reference | artistic tradition"
"f.e.-s.i.-wa.e.-’","body-mind disciplines"
"E:F:U:.","logical possibility (may)"
"wo.x.-","ponder possible techniques"
"g.n.-","inertia of mindsets"
"n.e.-m.a.-’","mutual understanding | harmony"
"E:S:.u.-","will express"
"E:M:.m.-","dynamic intermediary"
"b.e.-n.u.-wa.e.-’","literary erudition"
"l.i.-","knot | technical connection"
"E:O:.B:M:.-","core | centre | during"
"d.e.-n.i.-’","industry"
"wu.y.-","question accepted knowledge"
"e.a.-","demand"
"m.g.-","empathy with the public"
"h.l.-","fundamentalism | xenophobia"
"s.o.-f.o.-’","embodiment"
"e.i.-we.h.-’","draw investments | stimulate investments"
"E:U:.k.-","horizontal direction | same height"
"i.j.-","refine one’s language"
"u.u.-","to communicate"
"b.u.-k.u.-d.u.-’","asked for"
"t.u.-d.u.-’","index"
"M:T:.","becoming in the thing"
"d.o.-k.o.-’","security"
"k.i.-d.i.-’","market"
"O:M:.l.-","neglect space"
"f.a.-n.a.-’","social protection"
"wu.l.-","extend one’s overall view"
"a.a.-we.h.-’","create trust"
"b.i.-f.i.-’","circulatory system | repiratory system"
"U:M:.F:.-","move objectively"
"t.-M:.O:.-’","season"
"s.y.-","organized knowledge"
"b.o.-b.o.-’","negation"
"j.y.-","formulation of a hypothesis / a conceptual framework"
"E:M:.M:O:.-","why (reason | cause | role)"
"k.e.-f.a.-’","physical autonomy"
"x.b.-","isolation | lack of common language | lack of communication tools"
"k.O:M:.-","society actualized"
"B:O:.O:M:.-","condition of activity in being"
"E:F:.o.-","optative mood"
"b.g.-","content of the message | substance of the message"
"E:A:.p.-","definite | the"
"s.e.-l.u.-wa.e.-’","reading natural signs"
"u.h.-","state the meaning"
"b.i.-t.i.-’","media library"
"E:A:A:.","affirmation"
